param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-1.6897,0.0721718,-1.79065,-1.68657,-1.59274,1.01132,728.255
mu_position[1],-1.6924,0.0303025,-1.741,-1.69261,-1.64373,1.0145,535.025
mu_position[2],-1.69516,0.0327337,-1.74875,-1.69578,-1.64586,1.01129,411.281
mu_position[3],-1.66335,0.0428014,-1.72545,-1.66649,-1.58441,1.00561,824.972
mu_player[1],-1.32436,0.154877,-1.58408,-1.32873,-1.06488,1.00392,1219.0
mu_player[2],-1.54346,0.176432,-1.83126,-1.54368,-1.24697,1.00331,939.48
mu_player[3],-1.70079,0.182556,-1.99963,-1.69546,-1.39616,1.00512,1574.88
mu_player[4],-1.79536,0.209248,-2.1539,-1.78984,-1.45845,1.00372,673.503
mu_player[5],-1.82429,0.190207,-2.15128,-1.82571,-1.51583,1.00377,1855.3
mu_player[6],-1.45008,0.167306,-1.72184,-1.45847,-1.17387,1.00877,1627.33
mu_player[7],-1.51545,0.163301,-1.77349,-1.51553,-1.24864,1.00159,1458.89
mu_player[8],-1.49504,0.175357,-1.78137,-1.49408,-1.20269,1.00199,1537.44
mu_player[9],-1.61225,0.17148,-1.9027,-1.60428,-1.33938,1.00465,1697.64
mu_player[10],-1.56796,0.199741,-1.90178,-1.56163,-1.24722,1.00443,1112.9
mu_player[11],-1.5937,0.164139,-1.86462,-1.59283,-1.32013,1.00567,1935.58
mu_player[12],-1.9435,0.190816,-2.25735,-1.94451,-1.62223,1.00871,1041.09
mu_player[13],-1.63445,0.187353,-1.9489,-1.63266,-1.32945,1.00241,1440.48
mu_player[14],-1.30689,0.146298,-1.55168,-1.29827,-1.06614,1.00279,1638.25
mu_player[15],-1.71388,0.164695,-1.99138,-1.71619,-1.4445,1.00158,1948.86
mu_player[16],-1.56016,0.145488,-1.80102,-1.56007,-1.31819,1.00736,1488.1
mu_player[17],-1.68451,0.166145,-1.96733,-1.68583,-1.41948,1.00464,893.59
mu_player[18],-1.63192,0.14941,-1.87739,-1.63331,-1.38934,1.00091,1571.11
mu_player[19],-1.41294,0.139067,-1.64333,-1.41326,-1.18288,1.00501,1330.47
mu_player[20],-1.6442,0.147817,-1.88745,-1.64257,-1.39852,1.00255,1644.23
mu_player[21],-1.65351,0.144269,-1.895,-1.65448,-1.41054,1.00115,1063.71
mu_player[22],-1.60531,0.146464,-1.84291,-1.60771,-1.36729,1.00659,656.899
mu_player[23],-1.78699,0.169013,-2.06122,-1.78608,-1.50648,0.999709,1339.76
mu_player[24],-1.5934,0.150885,-1.85612,-1.59035,-1.35908,1.00108,1517.61
mu_player[25],-1.66304,0.164309,-1.93888,-1.66519,-1.40595,1.00768,1661.4
mu_player[26],-1.51811,0.166679,-1.78832,-1.51113,-1.25367,1.00236,1283.93
mu_player[27],-1.58559,0.148435,-1.81782,-1.58355,-1.33887,1.00673,748.443
mu_player[28],-1.9043,0.149534,-2.15063,-1.9051,-1.65676,1.00702,1517.13
mu_player[29],-1.72181,0.172666,-2.00494,-1.71971,-1.44482,1.00279,1115.68
mu_player[30],-1.71765,0.155431,-1.97575,-1.71108,-1.46035,1.0016,1369.39
mu_player[31],-1.55154,0.168436,-1.82142,-1.55356,-1.27009,1.00619,1481.3
mu_player[32],-1.60606,0.125456,-1.81197,-1.60912,-1.40124,1.00104,1114.45
mu_player[33],-1.88381,0.125175,-2.09185,-1.88308,-1.67864,1.00103,1942.1
mu_player[34],-1.34066,0.149286,-1.58345,-1.33967,-1.10266,1.00125,969.487
mu_player[35],-1.44766,0.121909,-1.64511,-1.44752,-1.25134,1.00273,909.585
mu_player[36],-1.74219,0.168394,-2.01053,-1.74376,-1.46974,1.00149,1115.93
mu_player[37],-1.40732,0.117595,-1.59273,-1.40854,-1.2155,1.00093,1118.75
mu_player[38],-1.7448,0.186314,-2.04523,-1.75226,-1.43819,1.00788,1718.14
mu_player[39],-1.86411,0.167217,-2.14837,-1.8559,-1.60599,1.00919,469.191
mu_player[40],-1.81304,0.165368,-2.08315,-1.8164,-1.53491,1.00161,1940.29
mu_player[41],-1.69565,0.159098,-1.9487,-1.69809,-1.43185,1.00376,1415.39
mu_player[42],-1.76086,0.18336,-2.06495,-1.7585,-1.46403,1.00577,1022.13
mu_player[43],-1.87879,0.179924,-2.16903,-1.87543,-1.58162,1.00442,1315.24
mu_player[44],-1.81439,0.140764,-2.04516,-1.81159,-1.5883,1.00225,1325.36
mu_player[45],-1.63117,0.12174,-1.82671,-1.63082,-1.43172,1.01059,1772.05
mu_player[46],-1.40371,0.121478,-1.60971,-1.39813,-1.2102,1.00106,1089.05
mu_player[47],-1.79266,0.180492,-2.10536,-1.78751,-1.50723,1.01356,2625.52
mu_player[48],-1.69057,0.137053,-1.926,-1.69008,-1.461,0.999945,2052.82
mu_player[49],-1.55923,0.141102,-1.80292,-1.55368,-1.33422,1.00167,1452.92
mu_player[50],-1.71091,0.156561,-1.96824,-1.71406,-1.44936,1.00414,1445.08
mu_player[51],-1.26437,0.0961339,-1.42039,-1.26535,-1.11077,1.00254,1471.87
mu_player[52],-1.70422,0.131646,-1.93,-1.70496,-1.48449,1.00895,2396.7
mu_player[53],-1.86681,0.128524,-2.08121,-1.86821,-1.65286,1.0013,1777.56
mu_player[54],-1.47694,0.0916598,-1.62278,-1.47649,-1.31956,1.00883,571.701
mu_player[55],-1.93993,0.11591,-2.13815,-1.93543,-1.75752,1.0044,1619.28
mu_player[56],-1.61398,0.134329,-1.84346,-1.61281,-1.38984,1.00094,1645.49
mu_player[57],-1.34206,0.148507,-1.57595,-1.34473,-1.10803,1.00055,903.438
mu_player[58],-1.73862,0.112828,-1.92325,-1.73476,-1.55894,1.00014,1549.38
mu_player[59],-1.75553,0.155708,-2.01139,-1.75808,-1.50763,1.00557,1046.95
mu_player[60],-1.62212,0.126673,-1.8314,-1.62085,-1.409,1.00221,1558.05
mu_player[61],-1.33094,0.107422,-1.50852,-1.33145,-1.1554,1.00647,1411.36
mu_player[62],-1.51779,0.107702,-1.69525,-1.51605,-1.34224,1.00343,1788.93
mu_player[63],-1.53376,0.093285,-1.68205,-1.5339,-1.38412,1.0082,574.516
mu_player[64],-1.55655,0.128284,-1.76202,-1.55765,-1.34404,1.0016,1417.59
mu_player[65],-1.97736,0.116876,-2.17021,-1.9762,-1.78875,1.00002,1565.05
mu_player[66],-1.5382,0.132037,-1.75881,-1.53409,-1.32361,1.00022,1090.04
mu_player[67],-1.56493,0.134048,-1.78529,-1.56727,-1.34073,1.00319,1334.63
mu_player[68],-1.90525,0.114561,-2.10422,-1.9009,-1.72378,1.01104,487.834
mu_player[69],-1.31588,0.0761363,-1.43925,-1.31575,-1.19047,1.00343,1072.56
mu_player[70],-1.42104,0.0726768,-1.53671,-1.42172,-1.29773,1.00553,625.195
mu_player[71],-1.41155,0.105742,-1.58218,-1.41026,-1.23535,1.00762,1259.26
mu_player[72],-1.72217,0.118906,-1.91578,-1.7186,-1.5202,1.00217,1337.55
mu_player[73],-1.61353,0.0803592,-1.74613,-1.61346,-1.48297,1.00334,1561.74
mu_player[74],-1.85685,0.0910518,-2.00565,-1.85611,-1.71209,1.0064,1786.22
mu_player[75],-2.05176,0.11313,-2.23417,-2.0506,-1.86403,1.00458,1362.61
mu_player[76],-1.78838,0.139303,-2.01623,-1.78975,-1.5535,0.999619,1003.82
mu_player[77],-2.10245,0.148411,-2.37073,-2.09912,-1.86597,1.00447,568.759
mu_player[78],-1.73605,0.0961156,-1.90575,-1.73008,-1.58276,0.999594,1857.12
mu_player[79],-1.95385,0.135706,-2.16565,-1.9595,-1.73309,1.00012,1276.4
mu_player[80],-1.98774,0.127987,-2.1895,-1.99131,-1.77748,1.00281,1115.19
mu_player[81],-1.47313,0.097374,-1.62766,-1.47163,-1.31396,1.00319,1365.75
mu_player[82],-1.73058,0.114413,-1.91622,-1.73041,-1.53897,1.00355,1595.47
mu_player[83],-1.89316,0.155124,-2.1419,-1.89366,-1.63978,1.00248,1082.45
mu_player[84],-1.89175,0.145302,-2.12215,-1.89302,-1.64646,1.00389,1358.28
mu_player[85],-1.77779,0.129939,-1.98725,-1.78014,-1.56848,1.00151,1447.44
mu_player[86],-2.11786,0.140612,-2.34534,-2.11563,-1.89318,1.00161,1748.07
mu_player[87],-1.97382,0.116827,-2.16388,-1.9753,-1.779,1.00127,1831.96
mu_player[88],-1.759,0.121384,-1.96699,-1.75222,-1.56686,1.00111,2625.17
mu_player[89],-1.44301,0.0983793,-1.60031,-1.44144,-1.28099,1.00489,656.427
mu_player[90],-1.79355,0.127184,-2.00405,-1.79196,-1.59018,1.00054,1279.26
mu_player[91],-1.74187,0.0779362,-1.88217,-1.73964,-1.62002,1.00818,650.902
mu_player[92],-1.70842,0.159328,-1.96807,-1.70256,-1.45507,1.00503,1332.38
mu_player[93],-1.80132,0.162052,-2.06088,-1.8001,-1.52729,1.00456,1187.75
mu_player[94],-1.75957,0.113521,-1.94027,-1.76075,-1.5709,1.00274,1240.5
mu_player[95],-1.94547,0.086827,-2.08334,-1.94424,-1.80544,1.00669,706.841
mu_player[96],-1.77457,0.135625,-1.9974,-1.77718,-1.54648,1.00855,1169.32
mu_player[97],-1.86955,0.134137,-2.08659,-1.87104,-1.65226,1.01149,763.065
mu_player[98],-1.91324,0.122607,-2.11558,-1.90707,-1.72124,1.01226,2110.89
mu_player[99],-2.01389,0.126414,-2.2163,-2.01134,-1.80345,1.00213,991.325
mu_player[100],-1.98822,0.125637,-2.19157,-1.98674,-1.77356,1.00823,590.184
mu_player[101],-1.70287,0.0967383,-1.85842,-1.70621,-1.52901,1.00553,734.579
mu_player[102],-1.94437,0.0943807,-2.09205,-1.94441,-1.79136,1.01364,1009.87
mu_player[103],-1.65644,0.0933929,-1.80704,-1.65752,-1.49772,1.00006,1337.58
mu_player[104],-2.06599,0.147745,-2.31131,-2.06252,-1.82797,1.00123,1900.59
mu_player[105],-1.14584,0.0486911,-1.22318,-1.14882,-1.06514,1.00327,1172.86
mu_player[106],-1.65417,0.124597,-1.85111,-1.65592,-1.4404,1.00632,584.769
mu_player[107],-1.47177,0.05052,-1.55858,-1.47099,-1.38985,0.999884,1471.35
mu_player[108],-1.9764,0.11139,-2.16338,-1.97734,-1.80206,1.0033,1915.8
mu_player[109],-1.4655,0.0912652,-1.61719,-1.46524,-1.32145,1.00975,588.689
mu_player[110],-2.07347,0.0854124,-2.20923,-2.07366,-1.93065,1.01063,1197.8
mu_player[111],-1.75453,0.0859729,-1.88857,-1.75547,-1.61364,1.00383,1389.58
mu_player[112],-1.64524,0.0698164,-1.76237,-1.64535,-1.53372,1.00433,1372.46
mu_player[113],-1.7459,0.117123,-1.94046,-1.74572,-1.55425,1.00267,1110.54
mu_player[114],-1.64026,0.102436,-1.81282,-1.63713,-1.4772,1.00396,1490.26
mu_player[115],-1.66646,0.0499245,-1.75085,-1.667,-1.58387,1.00443,1052.53
mu_player[116],-1.91851,0.0750429,-2.04284,-1.91922,-1.79455,1.00222,1613.73
mu_player[117],-1.90952,0.0831023,-2.03966,-1.9127,-1.76539,1.00412,1322.68
