param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-2.60124,0.105804,-2.75797,-2.59835,-2.44564,1.00453,869.436
mu_position[1],-2.62685,0.0609901,-2.73357,-2.62628,-2.53052,0.999148,994.43
mu_position[2],-2.58906,0.0623293,-2.6921,-2.59091,-2.48501,1.00344,1095.17
mu_position[3],-2.56629,0.0834613,-2.69115,-2.57348,-2.41516,1.00276,1265.4
mu_player[1],-2.02634,0.357417,-2.62034,-2.01343,-1.44361,1.00302,1087.24
mu_player[2],-2.23478,0.37059,-2.85672,-2.22542,-1.63135,1.00191,1843.47
mu_player[3],-2.19434,0.351797,-2.76608,-2.19364,-1.62147,1.0017,1025.47
mu_player[4],-2.77312,0.408421,-3.45567,-2.76581,-2.11488,0.999534,2029.92
mu_player[5],-2.68795,0.375198,-3.32007,-2.67926,-2.07986,1.00119,2195.68
mu_player[6],-2.01113,0.333367,-2.563,-2.0072,-1.47382,1.0014,1622.21
mu_player[7],-2.00428,0.332763,-2.55374,-1.98827,-1.47613,1.00038,1306.54
mu_player[8],-2.3031,0.368432,-2.8959,-2.30817,-1.68848,1.00017,1642.81
mu_player[9],-2.41219,0.317435,-2.92869,-2.42023,-1.91198,1.00021,1374.49
mu_player[10],-2.1937,0.394308,-2.86676,-2.19301,-1.55785,1.00271,1588.48
mu_player[11],-2.06254,0.322367,-2.60172,-2.06022,-1.53814,1.00397,1894.07
mu_player[12],-3.02328,0.390503,-3.67381,-3.02431,-2.38063,1.00085,1447.79
mu_player[13],-2.34732,0.366728,-2.97038,-2.33591,-1.74225,1.00609,2204.44
mu_player[14],-1.70982,0.299449,-2.20976,-1.71366,-1.19637,1.00088,1274.76
mu_player[15],-3.01926,0.353119,-3.59156,-3.0149,-2.43791,1.00193,1881.99
mu_player[16],-2.29599,0.311289,-2.79814,-2.29695,-1.79016,1.00313,1314.8
mu_player[17],-2.23636,0.34118,-2.80516,-2.23435,-1.68643,1.00283,1225.79
mu_player[18],-3.08314,0.334089,-3.61271,-3.09899,-2.53155,1.001,1586.4
mu_player[19],-2.1071,0.263502,-2.52338,-2.1099,-1.66511,1.00224,1637.69
mu_player[20],-2.31866,0.297261,-2.78988,-2.32491,-1.83514,1.00109,1645.76
mu_player[21],-2.05699,0.280522,-2.51308,-2.0559,-1.60891,1.0002,1249.94
mu_player[22],-2.38464,0.265581,-2.82726,-2.38774,-1.94879,1.0028,1686.58
mu_player[23],-2.3509,0.33186,-2.90433,-2.3609,-1.79193,1.00042,1465.87
mu_player[24],-2.36914,0.305929,-2.86826,-2.36886,-1.86604,1.00042,1482.86
mu_player[25],-2.66989,0.342905,-3.23817,-2.66392,-2.12332,1.00271,1548.0
mu_player[26],-2.43205,0.321186,-2.97452,-2.41939,-1.91648,1.00219,1441.27
mu_player[27],-2.72765,0.30827,-3.24636,-2.71317,-2.23817,1.00052,2877.91
mu_player[28],-3.1721,0.311314,-3.68059,-3.17366,-2.65118,1.00134,1329.48
mu_player[29],-2.40367,0.366815,-2.99469,-2.39796,-1.81528,1.0062,1527.31
mu_player[30],-2.70788,0.316541,-3.216,-2.72326,-2.15922,0.999804,1711.74
mu_player[31],-2.26074,0.344179,-2.8207,-2.24772,-1.69857,1.00269,1479.3
mu_player[32],-1.76428,0.238226,-2.16167,-1.76265,-1.37313,1.00669,929.868
mu_player[33],-2.48404,0.242512,-2.89038,-2.48254,-2.09968,1.00326,2161.88
mu_player[34],-1.99936,0.294045,-2.49183,-2.0015,-1.53156,1.00425,1375.84
mu_player[35],-1.79457,0.245766,-2.20637,-1.79556,-1.41146,1.00415,1086.46
mu_player[36],-2.79447,0.350764,-3.35672,-2.78999,-2.23032,1.0035,1696.54
mu_player[37],-2.56513,0.24161,-2.95566,-2.57268,-2.16718,1.00239,1620.28
mu_player[38],-2.56562,0.357417,-3.1426,-2.56106,-1.97821,0.999992,1783.92
mu_player[39],-2.65901,0.310665,-3.16143,-2.65853,-2.16252,1.0031,1519.42
mu_player[40],-3.23941,0.358033,-3.83612,-3.22832,-2.65009,1.00229,1628.22
mu_player[41],-2.81914,0.297099,-3.31301,-2.81339,-2.32905,1.00104,1169.38
mu_player[42],-2.73258,0.360968,-3.3026,-2.72809,-2.14928,1.00254,1642.77
mu_player[43],-2.75817,0.360064,-3.33433,-2.76285,-2.157,1.00495,1768.9
mu_player[44],-3.02096,0.292312,-3.49489,-3.00998,-2.54001,1.00149,2111.62
mu_player[45],-2.42722,0.24574,-2.83135,-2.42307,-2.02831,1.00248,1692.89
mu_player[46],-2.00187,0.233518,-2.40145,-2.00197,-1.6242,1.00086,1460.99
