param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-2.35075,0.406152,-2.99304,-2.36639,-1.66139,0.999715,2853.64
mu_position[1],-1.80782,0.0989268,-1.96973,-1.80693,-1.64136,1.00477,3331.15
mu_position[2],-2.11039,0.117596,-2.31424,-2.10656,-1.9292,1.0056,2748.61
mu_position[3],-3.92366,0.189895,-4.2396,-3.92649,-3.61017,1.002,1449.84
mu_player[1],-1.34641,0.330036,-1.89051,-1.33371,-0.837764,1.00219,2131.6
mu_player[2],-2.1662,0.575434,-3.10872,-2.16053,-1.2555,1.0007,2226.57
mu_player[3],-4.2909,0.614772,-5.28837,-4.28373,-3.30582,0.999339,2407.87
mu_player[4],-1.94448,0.591974,-2.90793,-1.94928,-0.974332,1.00382,2855.8
mu_player[5],-1.87351,0.551709,-2.80157,-1.872,-0.943341,1.00738,2234.28
mu_player[6],-2.91165,0.337924,-3.46835,-2.9121,-2.34639,1.00223,2104.03
mu_player[7],-1.87604,0.498708,-2.68705,-1.86914,-1.07695,1.00389,2394.52
mu_player[8],-3.00705,0.555274,-3.93053,-3.01111,-2.10357,1.00342,1832.51
mu_player[9],-1.72063,0.474155,-2.50862,-1.71251,-0.956468,1.00137,1941.96
mu_player[10],-1.57616,0.589719,-2.54347,-1.57415,-0.620251,1.00258,2476.07
mu_player[11],-1.2254,0.330065,-1.74935,-1.22056,-0.666912,1.00271,2607.82
mu_player[12],-1.87063,0.471149,-2.64634,-1.85994,-1.08683,1.00839,2679.2
mu_player[13],-2.08296,0.570387,-2.99578,-2.09579,-1.1082,1.00286,2078.57
mu_player[14],-2.13469,0.290099,-2.59587,-2.13587,-1.6572,0.999647,1853.84
mu_player[15],-2.8255,0.352931,-3.40603,-2.8087,-2.26244,1.00006,1672.86
mu_player[16],-1.55623,0.263698,-2.00789,-1.55776,-1.1195,1.00242,1809.38
mu_player[17],-2.64171,0.392775,-3.30746,-2.64524,-2.00083,1.0009,2199.14
mu_player[18],-2.22584,0.441257,-2.96327,-2.21293,-1.51318,1.00907,2328.77
mu_player[19],-2.55499,0.255414,-2.98096,-2.55741,-2.13522,1.00181,1674.31
mu_player[20],-1.544,0.267824,-1.97226,-1.53825,-1.10074,1.00179,1941.23
mu_player[21],-1.27266,0.317951,-1.78721,-1.27841,-0.733643,1.00054,2158.26
mu_player[22],-1.44639,0.279633,-1.91264,-1.44497,-1.00028,1.00037,2540.63
mu_player[23],-1.92863,0.426065,-2.61584,-1.93766,-1.23641,1.00312,1937.06
mu_player[24],-2.06593,0.287325,-2.53813,-2.06872,-1.58557,1.00064,1942.76
mu_player[25],-3.59691,0.514283,-4.42456,-3.58484,-2.75601,1.00292,2096.95
mu_player[26],-4.27167,0.562728,-5.22913,-4.26167,-3.36331,1.0015,2274.95
mu_player[27],-2.03664,0.356473,-2.62174,-2.04537,-1.47219,1.00144,2174.61
mu_player[28],-1.71737,0.280331,-2.1731,-1.70486,-1.2706,1.00433,2108.14
mu_player[29],-2.02531,0.495093,-2.84376,-2.01366,-1.24314,1.00048,1973.99
mu_player[30],-5.5941,0.683735,-6.74729,-5.58164,-4.53525,1.00129,2342.03
mu_player[31],-1.64792,0.47535,-2.44078,-1.64896,-0.862648,1.00482,2554.64
mu_player[32],-1.64073,0.181274,-1.93887,-1.63997,-1.33145,1.00362,2186.72
