param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-0.78607,0.0672415,-0.862881,-0.782709,-0.720134,1.34429,774.029
mu_position[1],-0.774684,0.0223514,-0.806433,-0.779669,-0.733877,1.32789,482.304
mu_position[2],-0.79314,0.0240734,-0.834769,-0.787029,-0.756703,1.11076,113.806
mu_position[3],-0.800048,0.0338759,-0.865938,-0.789802,-0.75427,1.09119,70.853
mu_player[1],-0.421712,0.20471,-0.683457,-0.449171,-0.0539767,1.11556,23.1875
mu_player[2],-0.619872,0.224786,-0.893065,-0.638845,-0.24035,1.14746,17.8047
mu_player[3],-0.752504,0.190156,-1.10578,-0.709727,-0.442737,1.22168,385.52
mu_player[4],-0.772218,0.257602,-1.22267,-0.764092,-0.444491,1.21376,13.234
mu_player[5],-0.970033,0.228172,-1.28205,-1.00721,-0.563176,1.09708,26.0571
mu_player[6],-0.575382,0.174776,-0.878884,-0.579273,-0.275793,1.21164,1531.39
mu_player[7],-0.629012,0.178152,-0.950933,-0.608127,-0.343038,1.19356,1014.01
mu_player[8],-0.621821,0.191002,-0.924971,-0.655168,-0.285912,1.26875,1146.74
mu_player[9],-0.683044,0.18713,-1.01874,-0.65618,-0.381433,1.2222,1195.08
mu_player[10],-0.801729,0.206275,-1.17622,-0.756132,-0.52212,1.06755,37.71
mu_player[11],-0.549919,0.197787,-0.905333,-0.530658,-0.305114,1.21722,13.2254
mu_player[12],-0.946842,0.187537,-1.25009,-0.953796,-0.615092,1.23956,1769.49
mu_player[13],-0.733078,0.244735,-1.16213,-0.713434,-0.44796,1.16114,16.8698
mu_player[14],-0.353652,0.177398,-0.557509,-0.373696,-0.04188,1.15676,17.0495
mu_player[15],-0.845807,0.177232,-1.12702,-0.876076,-0.528874,1.22706,602.044
mu_player[16],-0.594015,0.161027,-0.852978,-0.61566,-0.304387,1.18415,612.348
mu_player[17],-0.74521,0.178841,-1.0455,-0.760794,-0.441531,1.26535,1648.57
mu_player[18],-0.845041,0.158276,-1.12024,-0.830528,-0.578723,1.28135,1860.87
mu_player[19],-0.572121,0.174418,-0.887613,-0.526145,-0.321561,1.12576,67.7331
mu_player[20],-0.559453,0.140892,-0.782125,-0.581574,-0.309164,1.23148,291.541
mu_player[21],-0.625133,0.176155,-0.823934,-0.638755,-0.32053,1.18028,15.2246
mu_player[22],-0.619392,0.190454,-0.944603,-0.616737,-0.378899,1.28218,10.7448
mu_player[23],-0.692113,0.154035,-0.92758,-0.73067,-0.419607,1.13436,117.904
mu_player[24],-0.748984,0.206208,-1.11507,-0.733057,-0.499867,1.16708,16.4057
mu_player[25],-0.630025,0.16359,-0.874096,-0.662056,-0.338773,1.17066,69.9547
mu_player[26],-0.795386,0.172431,-1.09567,-0.756736,-0.52118,1.30083,285.036
mu_player[27],-0.697348,0.24225,-1.05053,-0.672103,-0.315917,1.3675,8.85318
mu_player[28],-0.773089,0.14958,-1.02414,-0.769406,-0.52517,1.21296,2268.09
mu_player[29],-0.888177,0.165514,-1.1786,-0.869094,-0.678037,1.11239,23.4736
mu_player[30],-0.789555,0.194834,-1.14151,-0.746441,-0.519205,1.07654,35.3477
mu_player[31],-0.895148,0.164062,-1.14926,-0.922046,-0.598969,1.12042,162.33
mu_player[32],-0.656543,0.178052,-0.952274,-0.681543,-0.325148,1.2358,972.142
mu_player[33],-0.843617,0.158092,-1.13852,-0.807714,-0.604211,1.17218,105.631
mu_player[34],-0.601488,0.141835,-0.847239,-0.573438,-0.371917,1.1657,618.866
mu_player[35],-0.830656,0.139759,-1.05442,-0.86506,-0.581016,1.24352,239.024
mu_player[36],-0.345175,0.163129,-0.64075,-0.313027,-0.110307,1.08398,30.5571
mu_player[37],-0.421722,0.141931,-0.625635,-0.453039,-0.17121,1.15366,33.1481
mu_player[38],-0.816883,0.215543,-1.18951,-0.808871,-0.550008,1.26827,10.9659
mu_player[39],-0.561318,0.185943,-0.824471,-0.548436,-0.268654,1.39371,8.62851
mu_player[40],-0.789662,0.201924,-1.14943,-0.748954,-0.510069,1.06316,46.0615
mu_player[41],-0.698893,0.210949,-1.06801,-0.671701,-0.443844,1.13674,18.9858
mu_player[42],-0.913221,0.169034,-1.14585,-0.950943,-0.612489,1.08566,32.0002
mu_player[43],-0.797104,0.185823,-1.13138,-0.764407,-0.549608,1.12315,21.5095
mu_player[44],-0.723546,0.151008,-0.98886,-0.705355,-0.458208,1.19484,2135.75
mu_player[45],-0.781699,0.178213,-1.08761,-0.771988,-0.49522,1.2939,2017.4
mu_player[46],-0.813124,0.213869,-1.18237,-0.80845,-0.549189,1.23163,12.22
mu_player[47],-0.624298,0.156294,-0.859335,-0.658315,-0.336111,1.13494,134.899
mu_player[48],-0.990253,0.164306,-1.27506,-0.968275,-0.722894,1.1669,294.992
mu_player[49],-0.596271,0.156751,-0.881199,-0.551953,-0.379457,1.07707,56.6561
mu_player[50],-0.728465,0.137215,-0.923045,-0.751591,-0.483546,1.0782,68.2272
mu_player[51],-0.415427,0.140154,-0.605815,-0.448201,-0.157751,1.06799,39.3446
mu_player[52],-1.04223,0.211269,-1.42882,-1.01206,-0.719467,1.20342,747.139
mu_player[53],-0.749028,0.175403,-1.06856,-0.721167,-0.510155,1.10559,24.9732
mu_player[54],-1.05929,0.152574,-1.29198,-1.09316,-0.792529,1.08448,79.0431
mu_player[55],-0.633679,0.194254,-0.966791,-0.621328,-0.395872,1.204,13.9586
