param,mean,sd,q5,q50,q95,rhat,ess
mu_league,-2.40527,0.224904,-2.77633,-2.4016,-2.01968,1.00937,1523.76
mu_position[1],-2.11448,0.0376407,-2.17304,-2.11644,-2.05086,1.00355,829.493
mu_position[2],-2.51827,0.0432521,-2.58572,-2.52112,-2.44515,1.00196,1031.3
mu_position[3],-2.60894,0.0743236,-2.72487,-2.60975,-2.48157,1.00387,956.783
mu_player[1],-2.45863,0.301852,-2.95892,-2.44995,-1.96736,1.00676,1233.73
mu_player[2],-2.82293,0.331101,-3.34969,-2.83,-2.25238,0.998927,2314.21
mu_player[3],-2.87862,0.358469,-3.45385,-2.88202,-2.28957,1.00536,2891.69
mu_player[4],-1.79347,0.321859,-2.32374,-1.80287,-1.25405,1.0002,2623.69
mu_player[5],-2.65092,0.336645,-3.20978,-2.65203,-2.08513,1.00079,2429.99
mu_player[6],-1.53982,0.268713,-1.98824,-1.54296,-1.10779,1.00404,1807.39
mu_player[7],-2.01268,0.295249,-2.48069,-2.01435,-1.53876,0.999024,2209.46
mu_player[8],-2.81841,0.345657,-3.39239,-2.8115,-2.26372,0.999392,2262.35
mu_player[9],-2.65131,0.308754,-3.15305,-2.66291,-2.14694,1.00259,2581.17
mu_player[10],-1.65444,0.288507,-2.13977,-1.64892,-1.19864,1.00613,2044.47
mu_player[11],-1.64688,0.27463,-2.11073,-1.64455,-1.19868,1.01106,2602.99
mu_player[12],-2.68089,0.315033,-3.2087,-2.67673,-2.15829,1.00387,1887.19
mu_player[13],-2.56736,0.359818,-3.16949,-2.56025,-1.99765,0.999829,3571.87
mu_player[14],-1.982,0.230557,-2.36837,-1.98137,-1.59635,1.00081,2125.31
mu_player[15],-2.25938,0.279361,-2.72139,-2.26632,-1.79361,0.998935,2372.41
mu_player[16],-1.67811,0.225965,-2.05037,-1.67458,-1.30741,0.999839,2759.77
mu_player[17],-2.76944,0.284804,-3.23264,-2.76626,-2.32132,1.00453,2234.91
mu_player[18],-2.35447,0.265123,-2.80182,-2.35638,-1.92663,1.00003,1893.54
mu_player[19],-1.83791,0.265792,-2.2664,-1.8403,-1.40239,1.00521,2932.43
mu_player[20],-1.67367,0.21605,-2.02454,-1.66768,-1.31663,0.999713,2989.13
mu_player[21],-2.39298,0.248626,-2.80151,-2.38661,-1.99162,1.01098,2789.46
mu_player[22],-2.67672,0.262429,-3.10469,-2.67456,-2.25478,1.00008,2373.62
mu_player[23],-2.33508,0.228063,-2.69109,-2.34056,-1.9567,0.999656,2016.46
mu_player[24],-2.10875,0.283764,-2.5738,-2.10618,-1.65821,1.00342,2227.57
mu_player[25],-2.87147,0.274974,-3.32466,-2.8662,-2.41263,1.00062,2256.69
mu_player[26],-2.62185,0.321196,-3.15256,-2.60984,-2.08594,1.00227,2974.33
mu_player[27],-2.96998,0.299116,-3.45774,-2.97687,-2.50367,1.00228,1929.58
mu_player[28],-2.83669,0.294025,-3.33129,-2.83278,-2.35734,1.00078,2815.01
mu_player[29],-2.35784,0.240056,-2.76141,-2.35644,-1.95471,1.00151,2812.33
mu_player[30],-2.06248,0.284201,-2.54786,-2.05964,-1.60362,1.00383,2344.5
mu_player[31],-2.74796,0.28221,-3.21851,-2.7441,-2.28797,1.00506,1899.12
mu_player[32],-1.78755,0.306084,-2.29057,-1.78817,-1.28661,1.00165,2529.74
mu_player[33],-2.37966,0.254973,-2.78679,-2.38377,-1.96126,1.00041,2574.38
mu_player[34],-1.39325,0.188947,-1.69536,-1.39455,-1.0756,1.00162,2633.66
mu_player[35],-1.60894,0.208431,-1.94344,-1.61325,-1.25678,0.999431,2273.77
mu_player[36],-1.93279,0.229168,-2.32473,-1.93162,-1.54789,0.999918,1889.36
mu_player[37],-1.99518,0.201755,-2.33121,-1.9967,-1.65411,1.0199,2505.23
mu_player[38],-2.38541,0.27444,-2.84497,-2.38204,-1.93067,1.00001,2230.89
mu_player[39],-1.51264,0.193383,-1.82299,-1.51815,-1.19358,1.00198,1706.11
mu_player[40],-2.72998,0.322823,-3.265,-2.73021,-2.19708,1.00006,1833.04
mu_player[41],-2.58091,0.313947,-3.10104,-2.58694,-2.05417,1.00402,2662.13
mu_player[42],-1.97927,0.244959,-2.39728,-1.97468,-1.57661,0.999607,2805.62
mu_player[43],-2.51803,0.302686,-3.02481,-2.52097,-2.01826,1.00018,2203.21
mu_player[44],-2.31145,0.245503,-2.72174,-2.31473,-1.90686,1.00761,3026.3
mu_player[45],-2.22222,0.308096,-2.71761,-2.2293,-1.7224,1.00453,3068.89
mu_player[46],-2.56722,0.310439,-3.06748,-2.56792,-2.05083,1.0081,2295.33
mu_player[47],-1.58901,0.24144,-1.98533,-1.58675,-1.18291,1.00009,2301.97
mu_player[48],-2.92765,0.294184,-3.42643,-2.92683,-2.45133,1.0011,2728.48
mu_player[49],-2.52435,0.294597,-3.01788,-2.52187,-2.05645,1.00396,2981.26
mu_player[50],-2.29316,0.20689,-2.62169,-2.29336,-1.9478,0.999704,2086.46
mu_player[51],-2.18929,0.2037,-2.52806,-2.19148,-1.84399,1.0114,2176.46
mu_player[52],-2.76273,0.377135,-3.38897,-2.75521,-2.13639,1.00052,3182.0
mu_player[53],-1.83152,0.231988,-2.21404,-1.82615,-1.45958,1.00313,2606.46
mu_player[54],-2.84235,0.276362,-3.32021,-2.82554,-2.40409,1.00189,2711.63
mu_player[55],-3.13668,0.327421,-3.6708,-3.12287,-2.61991,1.00224,2306.24
mu_player[56],-2.25293,0.275005,-2.69791,-2.25558,-1.81182,1.00251,2271.46
mu_player[57],-1.92394,0.245155,-2.33853,-1.91221,-1.53505,1.00189,2340.01
mu_player[58],-1.69218,0.245149,-2.09642,-1.69117,-1.29162,1.00425,2011.0
mu_player[59],-1.90308,0.163427,-2.1764,-1.90128,-1.62931,0.999777,2633.33
mu_player[60],-2.96143,0.337946,-3.522,-2.96165,-2.41446,0.999478,3180.01
mu_player[61],-2.71586,0.23971,-3.10594,-2.71581,-2.32456,1.00172,2270.66
mu_player[62],-2.57248,0.163486,-2.84026,-2.57078,-2.30394,0.999364,1975.51
mu_player[63],-2.77852,0.197528,-3.10294,-2.77401,-2.46175,1.00445,2426.44
mu_player[64],-1.97088,0.231771,-2.35409,-1.97542,-1.58419,1.00146,2621.08
mu_player[65],-2.39202,0.216829,-2.75182,-2.39302,-2.01558,1.00081,2482.01
mu_player[66],-2.27663,0.191017,-2.57478,-2.28077,-1.95528,1.00254,1741.69
mu_player[67],-2.49946,0.269521,-2.94007,-2.50416,-2.07197,1.00161,2720.65
mu_player[68],-2.72275,0.221624,-3.08523,-2.72234,-2.36193,1.00064,1748.1
mu_player[69],-2.31206,0.197145,-2.63554,-2.31271,-1.99682,1.00148,2328.38
mu_player[70],-2.47465,0.195344,-2.78766,-2.47155,-2.16128,1.00575,2088.18
mu_player[71],-2.42564,0.150197,-2.67011,-2.43157,-2.17866,1.00358,1735.62
mu_player[72],-1.86547,0.194267,-2.18768,-1.86518,-1.54123,1.00074,2715.74
mu_player[73],-1.94054,0.173528,-2.22077,-1.94143,-1.66154,1.00173,2954.46
mu_player[74],-2.17547,0.207077,-2.51649,-2.17255,-1.85002,1.005,2958.99
mu_player[75],-2.71448,0.23421,-3.08616,-2.71902,-2.33017,1.00396,2596.48
mu_player[76],-2.99725,0.21262,-3.34077,-2.9955,-2.66065,1.00226,2663.28
mu_player[77],-2.16982,0.30671,-2.67115,-2.17045,-1.66732,1.00168,2528.53
mu_player[78],-1.93302,0.3121,-2.46303,-1.92766,-1.41896,1.00135,3412.46
mu_player[79],-2.49548,0.14694,-2.73008,-2.49704,-2.25506,0.999163,2421.54
mu_player[80],-1.84989,0.126609,-2.05128,-1.85548,-1.63012,1.00035,2143.71
mu_player[81],-1.72396,0.191015,-2.03277,-1.72174,-1.40886,1.00585,2506.43
mu_player[82],-2.54122,0.219358,-2.90063,-2.53655,-2.17435,1.00049,1770.49
mu_player[83],-2.97085,0.172058,-3.25557,-2.96527,-2.70147,1.00054,1868.99
mu_player[84],-2.93303,0.169283,-3.21622,-2.93234,-2.66044,1.00062,2305.33
mu_player[85],-2.60584,0.191056,-2.91446,-2.60683,-2.29558,1.0026,4058.07
mu_player[86],-2.33951,0.244361,-2.75757,-2.32794,-1.95207,1.0025,3032.17
mu_player[87],-3.06871,0.303253,-3.57688,-3.05226,-2.57664,1.00426,4078.3
mu_player[88],-2.5059,0.174179,-2.80281,-2.50414,-2.20903,1.00301,2682.16
mu_player[89],-1.71188,0.21361,-2.06903,-1.70373,-1.37136,1.00718,2713.53
mu_player[90],-2.7614,0.216574,-3.10124,-2.7673,-2.407,1.00436,2123.8
mu_player[91],-1.71573,0.198886,-2.04853,-1.71881,-1.38743,1.00146,3008.23
mu_player[92],-1.90952,0.169765,-2.18804,-1.90897,-1.62901,1.00346,1825.88
mu_player[93],-2.14902,0.19135,-2.46321,-2.15364,-1.83655,1.0011,2729.66
mu_player[94],-2.41636,0.306472,-2.91825,-2.42375,-1.91064,0.99954,2809.29
mu_player[95],-2.70385,0.236185,-3.09391,-2.70146,-2.3,1.00026,2366.83
mu_player[96],-2.81258,0.244695,-3.22533,-2.80051,-2.42747,0.999353,2575.13
mu_player[97],-2.87795,0.293492,-3.38251,-2.87446,-2.41994,0.999426,2878.64
mu_player[98],-2.45822,0.188142,-2.76451,-2.45758,-2.14242,1.00213,1886.16
mu_player[99],-2.75008,0.250538,-3.17327,-2.74418,-2.35535,1.00156,2853.54
mu_player[100],-1.87932,0.159241,-2.13896,-1.88216,-1.61668,1.00494,1767.04
mu_player[101],-2.48608,0.220931,-2.85051,-2.48939,-2.11606,0.999031,2089.92
mu_player[102],-1.83923,0.117257,-2.02963,-1.83755,-1.64645,1.00929,1891.89
mu_player[103],-2.85896,0.275278,-3.31071,-2.85462,-2.40738,0.999245,2287.38
mu_player[104],-2.37241,0.274051,-2.84395,-2.35823,-1.93662,1.00006,2693.17
mu_player[105],-2.09018,0.186208,-2.39242,-2.09336,-1.78519,0.999524,2585.98
mu_player[106],-2.5385,0.142579,-2.76965,-2.53559,-2.30955,1.00137,2451.01
mu_player[107],-2.32338,0.216884,-2.66115,-2.32219,-1.96062,0.999269,1953.85
mu_player[108],-2.96286,0.246231,-3.36253,-2.95966,-2.56198,1.00151,2534.7
mu_player[109],-2.78452,0.220125,-3.15239,-2.78102,-2.43168,0.998385,3024.35
mu_player[110],-2.84112,0.222693,-3.20432,-2.83923,-2.46931,1.00129,2656.59
mu_player[111],-2.84992,0.211598,-3.19083,-2.84857,-2.51376,0.999142,2500.48
mu_player[112],-3.14396,0.183668,-3.45363,-3.14184,-2.84214,1.00294,1884.69
mu_player[113],-2.36609,0.151161,-2.61486,-2.36787,-2.11838,1.0003,1523.39
mu_player[114],-2.65579,0.169891,-2.92608,-2.65367,-2.36818,0.999785,2092.88
mu_player[115],-2.7432,0.289834,-3.21707,-2.7336,-2.26138,1.00118,2747.71
mu_player[116],-2.03552,0.268028,-2.49048,-2.03301,-1.59228,1.00018,3431.77
mu_player[117],-2.01155,0.195544,-2.32258,-2.01388,-1.69389,0.999958,2672.57
mu_player[118],-1.83295,0.0841772,-1.97339,-1.83162,-1.69275,1.00702,2768.03
mu_player[119],-1.92804,0.29278,-2.41917,-1.92986,-1.4448,1.00499,3403.71
mu_player[120],-1.85434,0.176094,-2.14982,-1.85103,-1.56932,0.998983,2832.59
mu_player[121],-2.2416,0.19994,-2.55456,-2.24793,-1.90455,1.00097,2017.34
mu_player[122],-2.63159,0.24544,-3.03489,-2.6341,-2.22659,1.00386,2725.02
mu_player[123],-2.64793,0.251573,-3.05357,-2.63497,-2.24839,1.00308,2356.34
mu_player[124],-2.13561,0.0882024,-2.27598,-2.13443,-1.99195,0.999066,1901.05
mu_player[125],-1.4717,0.149356,-1.72191,-1.4686,-1.21944,1.00576,1556.84
mu_player[126],-2.10339,0.155613,-2.36342,-2.09882,-1.84483,1.00331,3276.2
mu_player[127],-2.83821,0.12926,-3.04637,-2.83509,-2.62057,0.999955,1980.65
mu_player[128],-1.69942,0.114367,-1.89081,-1.69864,-1.51451,1.00413,2257.77
mu_player[129],-2.56267,0.28678,-3.03943,-2.56191,-2.09798,1.00324,3113.98
mu_player[130],-2.87136,0.264525,-3.32331,-2.86111,-2.44732,1.00542,2396.22
mu_player[131],-2.71522,0.126927,-2.92748,-2.71286,-2.50876,1.00265,1928.8
mu_player[132],-2.58968,0.220052,-2.94346,-2.58916,-2.23914,1.00442,2207.29
mu_player[133],-2.83695,0.193736,-3.14602,-2.83675,-2.51731,1.00144,2708.93
mu_player[134],-2.23571,0.0790118,-2.3686,-2.23424,-2.10755,1.00036,2150.62
mu_player[135],-2.69224,0.234167,-3.08553,-2.685,-2.31996,1.00083,3086.89
mu_player[136],-1.70681,0.105365,-1.88102,-1.70434,-1.53941,1.00095,2214.31
mu_player[137],-1.93712,0.117249,-2.13304,-1.93895,-1.74806,1.00658,2426.02
mu_player[138],-2.76418,0.184597,-3.06735,-2.7626,-2.47075,1.00658,2557.66
mu_player[139],-2.69146,0.337884,-3.265,-2.67567,-2.15782,1.00321,3583.86
mu_player[140],-2.03921,0.0865661,-2.18275,-2.03821,-1.90134,1.00003,1681.39
mu_player[141],-2.61651,0.10193,-2.78535,-2.6177,-2.45322,1.00141,2337.29
mu_player[142],-2.10102,0.112951,-2.28377,-2.09752,-1.9221,1.00266,2132.46
mu_player[143],-1.98832,0.126817,-2.19777,-1.98676,-1.78055,1.00388,2352.37
mu_player[144],-2.24106,0.151961,-2.49409,-2.2401,-1.99164,1.00478,2917.48
mu_player[145],-3.05901,0.139967,-3.2883,-3.05779,-2.83117,0.999905,2475.07
mu_player[146],-2.31651,0.165035,-2.60161,-2.31523,-2.05658,1.00142,2061.71
mu_player[147],-2.16256,0.111499,-2.34364,-2.16333,-1.97932,1.00177,1936.19
mu_player[148],-1.42415,0.0723748,-1.54648,-1.42392,-1.30781,1.00145,1481.49
mu_player[149],-2.57505,0.0983327,-2.7407,-2.57662,-2.4132,1.0028,2201.45
mu_player[150],-2.1869,0.265941,-2.62112,-2.18991,-1.74311,1.00149,2553.85
mu_player[151],-1.57181,0.158521,-1.83042,-1.56981,-1.31563,1.00008,1690.13
mu_player[152],-1.56697,0.0551937,-1.65906,-1.56472,-1.4772,1.00032,1297.98
mu_player[153],-2.58371,0.182542,-2.88448,-2.58351,-2.29036,0.999695,2744.73
mu_player[154],-1.97347,0.158659,-2.23873,-1.97154,-1.711,1.00387,2395.07
mu_player[155],-1.61715,0.0564497,-1.71027,-1.61819,-1.52378,1.00237,1781.81
mu_player[156],-2.28561,0.0817058,-2.41601,-2.28676,-2.14834,1.00082,1183.54
mu_player[157],-2.99422,0.180901,-3.28569,-2.99046,-2.69774,1.00944,3179.01
mu_player[158],-2.11617,0.169351,-2.40444,-2.11303,-1.84154,1.00282,3319.46
mu_player[159],-2.66742,0.386416,-3.30602,-2.663,-2.00395,1.00091,2606.86
mu_player[160],-3.02592,0.094853,-3.18686,-3.02388,-2.87559,0.999901,1862.09
