,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
lp__,-4850.56,1.92266,31.7237,32.936,-4900.93,-4851.14,-4799.04,271.726,670.994,1.01779
mu_league,-2.32663,0.0181995,0.507465,0.459903,-3.09136,-2.36582,-1.47631,787.443,869.022,1.00159
z_position[1],0.881818,0.0211979,0.63003,0.62841,-0.0693951,0.845962,1.98976,904.875,1038.52,0.999296
z_position[2],0.0449238,0.0171417,0.501815,0.480288,-0.759107,0.0419487,0.903822,861.695,787.071,0.999814
z_position[3],-1.45974,0.0197212,0.622282,0.621949,-2.56031,-1.40522,-0.509905,979.277,740.344,1.00041
sigma_position,1.01176,0.0116461,0.381689,0.316251,0.548674,0.930254,1.76238,1091.29,1087.59,1.00286
z_player[1],-0.278082,0.014582,0.784622,0.805421,-1.54017,-0.286312,1.07185,2990.74,1137.42,1.00013
z_player[2],1.64699,0.0099057,0.340414,0.345898,1.10063,1.62928,2.21474,1237.09,923.006,1.00162
z_player[3],-0.909388,0.0110454,0.453549,0.443417,-1.64238,-0.929472,-0.130772,1713.8,1116.46,1.00478
z_player[4],-0.983174,0.0150422,0.853129,0.879949,-2.30874,-1.0006,0.412442,3419.33,963.952,1.00849
z_player[5],-0.970678,0.0124401,0.50329,0.496111,-1.81181,-0.975233,-0.143018,1657.45,1243.66,1.00241
z_player[6],-1.30349,0.0112137,0.518258,0.518576,-2.13565,-1.31271,-0.449328,2242.59,1230.2,1.00647
z_player[7],0.350005,0.0108465,0.505322,0.522548,-0.458847,0.336353,1.22553,2263.94,981.102,0.999915
z_player[8],-0.342549,0.0142506,0.751268,0.772353,-1.52046,-0.356955,0.863947,2803.88,1181.93,1.00388
z_player[9],0.981303,0.00903601,0.335556,0.339205,0.438056,0.977105,1.5345,1394.77,1145.92,1.00589
z_player[10],0.233753,0.0142778,0.716808,0.70493,-0.925434,0.224849,1.40187,2681.2,1036.77,0.999007
z_player[11],-0.519793,0.0149963,0.827795,0.827953,-1.86133,-0.549189,0.835285,3089.18,1115.87,1.00464
z_player[12],0.959588,0.00844212,0.404566,0.413167,0.323986,0.950023,1.62805,2384.97,1168.46,1.00171
z_player[13],-0.511432,0.0120551,0.551568,0.563576,-1.44248,-0.522885,0.392909,2076.13,1160.71,1.00103
z_player[14],0.343267,0.00935117,0.352074,0.35715,-0.22647,0.330384,0.927831,1441.99,1023.57,1.00236
z_player[15],-0.716872,0.0124188,0.591286,0.590277,-1.68801,-0.736179,0.273069,2503.17,1048.88,1.00127
z_player[16],0.784469,0.00970085,0.398572,0.392422,0.141083,0.770325,1.46669,1735.23,1147.97,1.00063
z_player[17],0.448026,0.00884549,0.32885,0.329984,-0.0880373,0.438352,0.999929,1446.31,1186.44,1.00138
z_player[18],-1.48313,0.00969183,0.381789,0.380005,-2.10652,-1.48791,-0.84632,1600.19,1151.48,1.00075
z_player[19],0.290155,0.0108151,0.55689,0.562387,-0.620554,0.267518,1.20693,2794.05,1067.68,1.00836
z_player[20],1.42367,0.00957749,0.340391,0.334556,0.877701,1.41545,1.9818,1271.74,973.208,1.00092
z_player[21],0.735355,0.0113647,0.402734,0.399501,0.0777779,0.73455,1.40213,1277.7,1205.4,1.00415
z_player[22],0.997426,0.00884109,0.332872,0.332078,0.459656,0.987037,1.54283,1451.85,993.278,1.0059
z_player[23],-0.0702361,0.0087524,0.333555,0.327377,-0.5979,-0.0761468,0.478344,1538.19,1248.93,1.00178
z_player[24],-0.16989,0.00838189,0.360162,0.359018,-0.747069,-0.1786,0.426819,1902.47,1085.86,1.00273
z_player[25],-0.629385,0.0144301,0.827023,0.842195,-1.98357,-0.650429,0.736123,3466.76,1294.95,1.00106
z_player[26],0.344125,0.0131407,0.672739,0.64515,-0.700894,0.313891,1.49547,2793.14,1090.25,1.00305
z_player[27],-0.240146,0.0128483,0.623077,0.619968,-1.26654,-0.248325,0.829815,2427.31,983.38,1.00247
z_player[28],-0.572802,0.0155821,0.779852,0.790608,-1.80636,-0.581133,0.702201,2690.34,1232.17,1.00034
z_player[29],1.19438,0.00961465,0.4061,0.4211,0.555503,1.18605,1.85799,1965.98,964.276,1.00217
z_player[30],1.33963,0.00751091,0.322457,0.314289,0.832541,1.33404,1.87692,1929.27,1134.55,1.00401
z_player[31],-1.04871,0.00911966,0.367008,0.359153,-1.64637,-1.05427,-0.43496,1686.19,1210.02,1.00064
z_player[32],0.210414,0.00903752,0.395789,0.410078,-0.399845,0.208059,0.88776,1927.49,1230.84,1.00295
z_player[33],0.585343,0.00774693,0.329057,0.323046,0.0677113,0.581754,1.14814,1942.73,1160.2,0.999691
z_player[34],0.50641,0.00756805,0.394112,0.388789,-0.115223,0.501993,1.17164,2804.47,766.61,1.0009
z_player[35],0.528188,0.0102202,0.413373,0.427465,-0.133056,0.532298,1.19984,1629.7,1207.07,1.00143
z_player[36],0.25605,0.0107466,0.492558,0.477338,-0.523502,0.25308,1.05731,2227.43,1007.32,1.00184
z_player[37],0.81765,0.0104864,0.441143,0.437661,0.0859408,0.813438,1.51947,1806.57,1124.89,1.00325
z_player[38],-0.856455,0.00942054,0.462443,0.461949,-1.55836,-0.88485,-0.0959816,2602.61,1019.86,1.00584
z_player[39],-2.74746,0.00851705,0.374256,0.370665,-3.35423,-2.75572,-2.09726,1999.67,1184.18,1.00205
z_player[40],0.0397848,0.00897189,0.348768,0.343068,-0.514526,0.0238236,0.623102,1483.56,1029.29,1.00314
z_player[41],-2.33007,0.0117228,0.565618,0.567043,-3.25387,-2.31039,-1.42273,2438.73,1012.26,1.00086
z_player[42],0.877068,0.00872698,0.3667,0.365262,0.288703,0.870409,1.49831,1835.49,1227.89,1.00123
z_player[43],-0.531711,0.00866739,0.361181,0.373665,-1.11139,-0.539867,0.0688029,1789.16,1090.61,1.0017
z_player[44],1.09746,0.00760327,0.328584,0.34171,0.591021,1.09401,1.63305,1909.65,1179.73,1.00874
z_player[45],0.939473,0.0069741,0.315672,0.332407,0.439435,0.931474,1.42938,2138.72,1004.49,1.00162
z_player[46],0.639237,0.00900693,0.335855,0.339114,0.108836,0.633976,1.19705,1460.94,885.767,1.00503
z_player[47],1.05181,0.00778632,0.319118,0.316771,0.524424,1.04631,1.58045,1737.32,998.015,1.00109
z_player[48],0.930016,0.00849452,0.424153,0.419825,0.24804,0.923327,1.63881,2693.66,811.383,1.0009
z_player[49],0.930519,0.00728493,0.303493,0.287826,0.450453,0.924228,1.45466,1841.18,887.791,1.00089
z_player[50],0.949702,0.0100718,0.486836,0.47488,0.191655,0.931474,1.77061,2511.3,1172.43,0.99891
z_player[51],-2.42301,0.0124887,0.556185,0.55467,-3.31762,-2.44369,-1.49844,2090.79,948.963,1.00199
z_player[52],-1.49573,0.0088455,0.472215,0.464432,-2.25019,-1.50592,-0.739228,2961.38,1239.19,1.00896
z_player[53],0.0729095,0.0083944,0.340367,0.357634,-0.471284,0.0610455,0.635225,1685.08,900.084,1.00039
