,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
lp__,-4193.43,2.06693,31.2486,30.2969,-4243.26,-4194.38,-4138.76,243.353,438.693,1.00534
mu_league,-2.53689,0.00385014,0.0920184,0.0723954,-2.68624,-2.54272,-2.38033,608.919,517.45,1.00384
z_position[1],-0.739849,0.0237925,0.707669,0.748484,-1.94615,-0.720921,0.344465,884.158,822.803,1.0025
z_position[2],0.590147,0.0262851,0.70402,0.705345,-0.537835,0.56703,1.77205,720.134,683.073,1.0007
z_position[3],0.153415,0.0261797,0.69346,0.703281,-0.97968,0.159828,1.29097,711.494,989.729,0.999108
sigma_position,0.146639,0.00348158,0.0915047,0.0724238,0.0449002,0.121621,0.333285,689.014,880.907,1.00844
z_player[1],-0.134114,0.0175783,0.876656,0.875378,-1.60967,-0.135213,1.28303,2522.33,1120.48,1.00339
z_player[2],0.397002,0.0119661,0.493217,0.503229,-0.414424,0.396811,1.2308,1744.06,1159.33,1.00163
z_player[3],0.947154,0.0134354,0.523315,0.505104,0.0969294,0.945357,1.84062,1568.79,920.28,1.00534
z_player[4],0.242003,0.0160699,0.896776,0.939184,-1.18262,0.243542,1.68397,3105.35,791.671,1.00173
z_player[5],1.17805,0.0144364,0.628751,0.616348,0.193238,1.1655,2.22974,1927.16,1198.3,1.0
z_player[6],-0.487397,0.0163563,0.747843,0.772914,-1.70707,-0.487526,0.729023,2120.29,953.659,1.00067
z_player[7],-0.167146,0.0144698,0.744271,0.72215,-1.39742,-0.184004,1.08339,2736.28,1094.74,1.00764
z_player[8],-0.063941,0.0174919,0.846128,0.807923,-1.43887,-0.0768276,1.35386,2401.01,1234.83,1.00287
z_player[9],0.163402,0.0112054,0.533569,0.510096,-0.670377,0.163836,1.04524,2299.61,1063.2,1.00399
z_player[10],0.615895,0.016256,0.810021,0.852723,-0.676927,0.634006,1.94442,2569.32,1257.01,1.00043
z_player[11],0.407197,0.0164114,0.861433,0.893443,-0.990395,0.396135,1.80339,2851.82,1191.04,1.00232
z_player[12],0.544551,0.0130697,0.639354,0.619355,-0.518085,0.560497,1.57533,2413.49,1076.38,1.00198
z_player[13],0.246119,0.0155144,0.666011,0.686394,-0.86925,0.236074,1.31937,1912.47,1174.59,1.00152
z_player[14],0.180259,0.0108307,0.51425,0.501492,-0.646252,0.191944,1.00755,2276.75,933.105,1.00208
z_player[15],1.44139,0.0141116,0.677917,0.69157,0.328261,1.4311,2.5489,2356.29,1015.74,1.00029
z_player[16],-1.55316,0.0169355,0.76306,0.725688,-2.80475,-1.57224,-0.24765,2192.01,944.148,1.00174
z_player[17],0.949503,0.0116528,0.522985,0.494626,0.097592,0.950025,1.81684,2075.58,1197.38,1.00145
z_player[18],-2.13597,0.0132437,0.576768,0.573106,-3.09519,-2.12437,-1.21276,1968.58,1137.36,1.00167
z_player[19],0.0563187,0.0117341,0.702471,0.662408,-1.12645,0.0604139,1.22766,3576.06,1139.31,1.00238
z_player[20],1.6253,0.0130701,0.472096,0.461949,0.842367,1.6223,2.40963,1388.29,1144.12,1.00405
z_player[21],-2.0318,0.0148823,0.621287,0.621832,-3.02352,-2.04433,-0.984436,1818.2,1292.11,1.00974
z_player[22],-0.164836,0.0107838,0.524938,0.518122,-1.01185,-0.169866,0.693772,2401.45,1150.24,0.999573
z_player[23],1.25095,0.0109535,0.473403,0.479095,0.502381,1.23385,2.04542,1906.16,1213.48,1.00141
z_player[24],-1.78472,0.0110159,0.53775,0.522691,-2.69068,-1.78593,-0.869212,2444.67,1191.46,1.00037
z_player[25],0.492486,0.0160805,0.937321,0.907213,-1.02918,0.497926,2.01739,3483.87,1024.8,1.00521
z_player[26],-0.358306,0.0155811,0.902992,0.877386,-1.88557,-0.355606,1.15563,3453.17,1036.01,1.00028
z_player[27],-0.125027,0.0161285,0.805227,0.830925,-1.4098,-0.127053,1.19712,2578.11,1057.0,1.00033
z_player[28],-0.183804,0.0172378,0.923194,0.893661,-1.75565,-0.196209,1.36929,2983.74,1147.87,1.00713
z_player[29],-1.16525,0.0138698,0.709602,0.720123,-2.29617,-1.18104,0.0178409,2804.16,1089.4,1.00142
z_player[30],-0.296347,0.0132446,0.549548,0.539038,-1.1685,-0.293996,0.61597,1757.71,1111.25,1.00109
z_player[31],0.801014,0.0102822,0.472376,0.460466,0.0303337,0.806945,1.58912,2175.53,1129.74,1.00683
