source,stat,cohort,n,their_mae,their_bias,v6_1_mae,v6_1_bias,delta_mae,delta_pct
hashtagbasketball,pts,ALL,30,2.5646244303459222,1.0464013914798227,2.6360112222809966,-0.24812794935466767,0.07138679193507436,2.7835183620022503
hashtagbasketball,pts,vet,26,2.569906698353388,1.239785100722938,2.443849227285604,-0.1272191649865123,-0.1260574710677842,-4.905138040558157
hashtagbasketball,reb,ALL,30,0.7155717830377856,0.5208563519745283,0.5924603791250708,0.3019295930255391,-0.1231114039127148,-17.20461969448758
hashtagbasketball,reb,vet,26,0.7397047122179798,0.592959482395827,0.5941210281258555,0.38388993191569354,-0.1455836840921243,-19.681324410601157
hashtagbasketball,ast,ALL,30,0.7107302608846668,0.4335996654452479,0.6565866074121083,0.19983976733811845,-0.05414365347255856,-7.61803126338878
hashtagbasketball,ast,vet,26,0.7434444886369506,0.45328214657981236,0.7001082642956581,0.23749159791705315,-0.04333622434129247,-5.829113673402324
hashtagbasketball,stl,ALL,30,0.16782730518547911,0.029104453676331753,0.2010017855076973,-0.018814257538940914,0.033174480322218175,19.76703390759594
hashtagbasketball,stl,vet,26,0.17605403296552719,0.015989204301126405,0.21365097702066643,-0.029734222752051197,0.03759694405513925,21.35534382362092
hashtagbasketball,blk,ALL,30,0.22132851990016453,0.1330685376237888,0.2273422229553145,0.1096544738843052,0.006013703055149977,2.71709360269639
hashtagbasketball,blk,vet,26,0.17295590504149044,0.07111746395336462,0.1761925053220608,0.06866358205291563,0.003236600280570351,1.8713441901818395
hashtagbasketball,tov,ALL,30,0.34943278625503493,0.18756526735454576,0.3324685947344466,0.03558861714222218,-0.016964191520588312,-4.8547795707432355
hashtagbasketball,tov,vet,26,0.33690810935707216,0.1736043022518339,0.3417812837230056,0.03281909171090728,0.00487317436593343,1.4464402104279999
hashtagbasketball,fg3m,ALL,30,0.4204533448922832,0.30016725701898606,0.3577839617004283,0.09958516098315005,-0.06266938319185489,-14.905193157140964
hashtagbasketball,fg3m,vet,26,0.3849476176454348,0.24615597779163043,0.33852398648690935,0.040602293351588346,-0.046423631158525436,-12.059726838285055
hashtagbasketball,mpg,ALL,30,2.238019776763715,1.3759198715811878,2.3566460861633582,1.5041015413898922,0.11862630939964314,5.30050317835808
hashtagbasketball,mpg,vet,26,2.141229755694326,1.4260709457759004,2.1535173590707255,1.6825082682419084,0.01228760337639967,0.5738573053042236
fantasypros,pts,ALL,252,2.5687279980044035,-0.10268980072649177,2.844367784431941,-0.05438984447369609,0.2756397864275373,10.730594544913927
fantasypros,pts,vet,187,2.430388618359657,0.17927650451500232,2.6945034015916765,0.2205117571076296,0.2641147832320194,10.867183183662146
fantasypros,pts,soph,65,2.9667197517515995,-0.9138851711904827,3.275516085833932,-0.8452606059461254,0.30879633408233254,10.408678942458726
fantasypros,reb,ALL,252,0.817626004886933,0.12624699317389107,0.8956419412806259,0.2891282789710977,0.07801593639369286,9.541763095522072
fantasypros,reb,vet,187,0.7975463781537316,0.20243705033325798,0.8741066533626939,0.3777292893289854,0.07656027520896225,9.599476256941237
fantasypros,reb,soph,65,0.8753935464116822,-0.09294594049997995,0.9575973080599074,0.0342299876337899,0.08220376164822518,9.39049208041182
fantasypros,ast,ALL,252,0.6930333055605262,-0.0500817983515918,0.764106140328073,0.03014115150440515,0.07107283476754678,10.25532744202863
fantasypros,ast,vet,187,0.7012622055876229,0.015202894141689195,0.777803323625263,0.10967628705363926,0.07654111803764019,10.914764467236978
fantasypros,ast,soph,65,0.6693593931748787,-0.23790083675533868,0.7247003976115408,-0.19867531538339137,0.05534100443666212,8.26775645504441
fantasypros,stl,ALL,252,0.19810338127906985,-0.006474192889947363,0.21291945722965414,-0.004828046152198828,0.01481607595058429,7.478961668863573
fantasypros,stl,vet,187,0.1878372034679117,0.01929725238043669,0.2087853248945851,0.02403800768827056,0.020948121426673405,11.152274969985902
fantasypros,stl,soph,65,0.2276383851357864,-0.08061665851397533,0.2248130379474681,-0.08787346258554919,-0.0028253471883183112,-1.2411558738799655
fantasypros,blk,ALL,252,0.1553017377280145,0.029820216527926897,0.18425404511083715,0.037483958452222764,0.028952307382822645,18.642616500227355
fantasypros,blk,vet,187,0.14799610996069576,0.03974572451915609,0.1738847393904411,0.058475449949728815,0.025888629429745347,17.492776963273393
fantasypros,blk,soph,65,0.17631946684322383,0.0012652935377752302,0.21408574002951497,-0.022906947855986924,0.03776627318629114,21.419230594583972
fantasypros,tov,ALL,252,0.35402691028206834,-0.03354086886307296,0.3959791472538735,-0.026176607015465706,0.04195223697180517,11.850013587492553
fantasypros,tov,vet,187,0.32704755386207807,0.0061978502545023675,0.3669683693412878,0.01713724412659569,0.039920815479209726,12.206425337168266
fantasypros,tov,soph,65,0.431644443367271,-0.1478661069397897,0.4794409237100816,-0.1507872249164731,0.04779648034281064,11.07311378085836
fantasypros,fg3m,ALL,252,0.33959021144037754,-0.030490398837589413,0.3694951290696176,0.003987347830194162,0.02990491762924008,8.806177746525105
fantasypros,fg3m,vet,187,0.31708958047333874,-0.015482729627963793,0.34902914426702497,0.02267174347557893,0.03193956379368623,10.072725740785339
