stat,v1,v2,cons,fp,naive
PTS,2.08630349341075,2.010666200920389,1.8914981408595566,1.9369858083563243,2.2846887645446623
REB,0.7115559241465844,0.6682713405759269,0.7115388118852218,0.7123794458632149,0.7185665212711979
AST,0.6848970846099856,0.6666310026047675,0.6125785987503104,0.6382084390503674,0.7171367896435247
STL,0.16374514462517467,0.15599611131979224,0.1501118426844311,0.1495306535104352,0.17197640590935287
BLK,0.13860376429098367,0.13981666314038954,0.1452682673943947,0.1454951248300286,0.1524984151905952
TOV,0.2939783426265023,0.2814880010335682,0.29621181466198054,0.29740686727232285,0.32750362879654615
FG3M,0.35090161811891113,0.3438331791864032,0.30941530083592195,0.31769987540800904,0.3300620319354975
FG%,0.025541813920562807,0.025541813920562796,0.02651370315587492,0.02693721840874585,
FT%,0.03754955317244448,0.03754955317244448,0.04122574628190379,0.04113098607407176,
MPG,3.191392490832382,2.9907361685916887,2.626839674796967,2.708155580238988,
FGM,0.9417374655468884,0.8917322111724254,,,0.8216445706514435
FGA,1.9165921041153695,1.8127111645997924,,,1.7113140378224614
FG3A,0.8655385275816392,0.839340491305246,,,0.8257103569214123
FTM,0.5199043311629747,0.5083015722815082,,,0.5902195402759086
FTA,0.6397168823618788,0.6172575203749707,,,0.7232673559553056
