,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
lp__,-134.021,0.215117,3.93106,3.53155,-141.252,-133.461,-128.605,360.033,800.0,1.01796
mu_component[1],2.83021,0.00247292,0.0415355,0.0332695,2.7725,2.83258,2.88676,750.665,467.864,1.00295
mu_component[2],3.10243,0.00254435,0.0681636,0.066806,2.98717,3.10144,3.21032,751.443,562.66,1.0017
mu_component[3],3.45489,0.000633702,0.0197941,0.018614,3.4219,3.45602,3.48655,1033.17,1118.5,1.00089
sigma_component[1],0.38131,0.000804877,0.0223455,0.0211745,0.348458,0.380166,0.417724,1058.39,542.321,1.00656
sigma_component[2],0.169915,0.00176198,0.0503612,0.0420376,0.102086,0.16862,0.245653,790.926,685.7,1.00916
sigma_component[3],0.100349,0.000442008,0.0148876,0.0142526,0.0782918,0.0993202,0.126684,1204.23,1203.62,1.00217
beta_bench[1],3.04569,0.0405187,0.965718,0.943393,1.38702,3.10374,4.48783,717.734,428.989,1.00273
beta_bench[2],-1.04408,0.0136737,0.369372,0.375956,-1.58543,-1.06383,-0.438481,761.304,494.169,1.00517
beta_bench[3],-0.0716964,0.00384484,0.115042,0.0935877,-0.264341,-0.0639558,0.0951811,1050.58,628.115,1.00719
beta_bench[4],0.667288,0.0146372,0.607548,0.57638,-0.279436,0.648342,1.67829,1738.76,1086.99,1.00145
beta_bench[5],0.0311055,0.0180131,0.970459,0.967798,-1.51229,-0.00734481,1.7044,2941.64,1235.6,1.0079
beta_star[1],-3.2962,0.0213296,0.892424,0.863266,-4.81553,-3.29089,-1.85485,1780.06,1101.04,0.999681
beta_star[2],1.72789,0.0121585,0.358536,0.34105,1.14036,1.70831,2.33501,914.606,821.812,1.00243
beta_star[3],-0.0511864,0.00314342,0.0913687,0.0722869,-0.19482,-0.0494541,0.0766132,1114.47,727.572,1.00822
beta_star[4],-0.641552,0.0132606,0.539122,0.544871,-1.49885,-0.65783,0.2652,1713.53,1159.21,1.00238
beta_star[5],0.0540609,0.019826,1.05502,1.00516,-1.70261,0.033079,1.84352,2930.09,1028.76,1.00611
"alpha_pos[1,1]",0.708359,0.024595,0.740658,0.754041,-0.517942,0.721788,1.93973,923.316,1292.68,1.00935
"alpha_pos[1,2]",-1.28037,0.019721,0.668085,0.66081,-2.34785,-1.28539,-0.138449,1175.0,1309.0,1.00376
"alpha_pos[2,1]",0.953863,0.0202153,0.725764,0.71049,-0.188031,0.931412,2.13898,1299.72,1239.71,1.00426
"alpha_pos[2,2]",-1.40093,0.0189627,0.674653,0.692975,-2.54072,-1.41265,-0.294347,1291.98,1249.37,1.00456
"alpha_pos[3,1]",1.4005,0.0192245,0.751138,0.757128,0.156982,1.3992,2.6208,1548.78,1104.17,1.00079
"alpha_pos[3,2]",-0.650436,0.0170048,0.696439,0.70716,-1.78387,-0.662497,0.507006,1719.19,1091.1,1.00204
log_mpg_fitted[1],2.88049,0.00206969,0.0689411,0.0462719,2.80185,2.86415,3.03332,1383.31,1087.54,1.00187
log_mpg_fitted[2],2.84954,0.00107484,0.0412954,0.0338255,2.79092,2.84595,2.91867,1581.78,1293.76,1.00152
log_mpg_fitted[3],2.85175,0.000998301,0.0385061,0.0337069,2.79719,2.84867,2.91798,1622.7,1100.29,1.00173
log_mpg_fitted[4],3.24931,0.00124261,0.0516245,0.0524692,3.16436,3.25062,3.33261,1736.95,1452.33,0.998825
log_mpg_fitted[5],3.23738,0.00133561,0.0554726,0.0566279,3.14659,3.23846,3.32674,1738.25,1486.67,0.998725
log_mpg_fitted[6],3.26178,0.00140899,0.0572891,0.0575323,3.16401,3.26395,3.35149,1693.85,1491.61,0.998997
log_mpg_fitted[7],2.85298,0.00104829,0.0398667,0.0338403,2.79753,2.8495,2.92003,1600.41,1058.26,1.00168
log_mpg_fitted[8],3.2341,0.00130383,0.0543534,0.0552862,3.14544,3.23531,3.32233,1747.75,1551.54,0.998774
log_mpg_fitted[9],3.03673,0.00136647,0.0585857,0.0611795,2.94046,3.0387,3.13013,1878.11,1284.51,0.998542
log_mpg_fitted[10],2.86856,0.00169068,0.0567054,0.0392444,2.80095,2.85754,2.98438,1403.68,987.122,1.00259
log_mpg_fitted[11],2.84406,0.000892881,0.035364,0.0328544,2.78899,2.84244,2.9012,1587.34,1295.67,1.00338
log_mpg_fitted[12],2.98933,0.00129182,0.0573629,0.0562054,2.89871,2.9859,3.0888,1996.39,1375.96,0.999981
log_mpg_fitted[13],2.97332,0.00127531,0.0566356,0.0560645,2.88685,2.97083,3.07209,1999.31,1356.07,0.999314
log_mpg_fitted[14],2.86086,0.00141324,0.0476381,0.0362273,2.79992,2.85373,2.9501,1424.27,910.313,1.00297
log_mpg_fitted[15],3.12799,0.00189081,0.0623367,0.0632848,3.02039,3.13089,3.22417,1165.18,1397.12,1.00432
log_mpg_fitted[16],3.03532,0.00166582,0.0610933,0.0630031,2.93279,3.03765,3.13153,1392.41,1571.85,1.00245
log_mpg_fitted[17],2.85076,0.000958924,0.0374479,0.0332102,2.79679,2.84809,2.91495,1642.74,1079.76,1.0017
log_mpg_fitted[18],3.06629,0.00128886,0.056077,0.0553232,2.97307,3.06747,3.15786,1931.6,1348.4,0.998548
log_mpg_fitted[19],3.06717,0.00133488,0.0579886,0.0574508,2.97015,3.06898,3.16027,1917.18,1290.85,0.998516
log_mpg_fitted[20],2.84896,0.000890941,0.035653,0.0325134,2.79598,2.84732,2.9077,1687.15,1099.85,1.0016
log_mpg_fitted[21],2.85773,0.00128858,0.0438364,0.0349078,2.79849,2.8525,2.93708,1443.83,871.242,1.00306
log_mpg_fitted[22],3.13247,0.00135313,0.0559872,0.0528547,3.03879,3.13454,3.22187,1756.44,1434.78,1.00173
log_mpg_fitted[23],3.25067,0.00135456,0.0528147,0.0524915,3.16072,3.25272,3.33106,1575.69,1050.62,1.00242
log_mpg_fitted[24],3.25883,0.00146819,0.055918,0.0548265,3.16459,3.26243,3.34451,1522.62,1268.12,1.00236
log_mpg_fitted[25],2.84282,0.000870591,0.0343665,0.0326691,2.78812,2.84192,2.89911,1572.03,1269.04,1.00381
log_mpg_fitted[26],2.84745,0.000838644,0.0343015,0.0322466,2.79533,2.8463,2.90395,1723.23,1106.25,1.00155
log_mpg_fitted[27],2.8544,0.00115109,0.0398977,0.033188,2.7983,2.85079,2.92206,1481.75,916.486,1.00291
log_mpg_fitted[28],3.23373,0.00111835,0.0458175,0.0454862,3.15387,3.23574,3.30289,1708.41,1204.13,1.00252
log_mpg_fitted[29],3.03238,0.00146371,0.0540711,0.0555085,2.94137,3.03442,3.11742,1396.74,1627.88,1.00303
log_mpg_fitted[30],2.84464,0.000906569,0.0358871,0.0329285,2.78929,2.84258,2.90331,1591.79,1323.29,1.00332
log_mpg_fitted[31],3.28617,0.0013714,0.0596869,0.061906,3.18532,3.28843,3.37531,1903.58,1484.78,1.0006
log_mpg_fitted[32],3.07633,0.00164085,0.0712972,0.0738261,2.96201,3.07604,3.19913,1896.09,1300.81,1.00161
log_mpg_fitted[33],2.84868,0.000880788,0.0353885,0.0325134,2.79591,2.84719,2.907,1692.4,1099.85,1.00161
log_mpg_fitted[34],3.12079,0.00130066,0.0533025,0.05453,3.03364,3.1216,3.20696,1737.57,1384.68,0.999909
log_mpg_fitted[35],3.00318,0.00119471,0.0515029,0.0549303,2.92139,3.00283,3.08801,1896.94,1292.83,0.9987
