,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
lp__,1568.53,44.0048,163.867,172.197,1340.85,1549.36,1890.88,7.5135,800.0,1.50597
mu_league,2.84773,0.00684006,0.0906081,0.061817,2.7186,2.84748,2.97653,68.0154,311.513,1.08511
mu_position[1],2.87897,0.0257768,0.0506291,0.0557902,2.80366,2.87036,2.96409,6.74406,800.0,1.61404
mu_position[2],2.8389,0.0264308,0.0475693,0.0496671,2.75274,2.84297,2.91216,5.40238,800.0,2.037
mu_position[3],2.80569,0.0230709,0.0561028,0.0620023,2.71124,2.80644,2.89116,9.87599,800.0,1.35812
mu_player[1],2.8786,0.026739,0.0656091,0.0639668,2.76061,2.8805,2.98704,10.1603,800.0,1.30564
mu_player[2],2.80453,0.0238353,0.070343,0.0733294,2.68778,2.80578,2.91735,14.5035,164.032,1.20992
mu_player[3],2.8445,0.0275019,0.060153,0.0599712,2.7361,2.85099,2.93705,8.79044,800.0,1.38132
mu_player[4],2.83811,0.0274033,0.066586,0.0656347,2.71672,2.84478,2.93729,9.70566,800.0,1.32798
mu_player[5],2.87696,0.027705,0.0667546,0.0707719,2.76018,2.87748,2.98275,9.96221,800.0,1.31322
mu_player[6],2.80695,0.0249111,0.0692588,0.0730106,2.69324,2.81119,2.92114,13.8928,800.0,1.2219
mu_player[7],2.87739,0.0279204,0.0673424,0.06966,2.76354,2.87739,2.98587,9.87407,800.0,1.3197
mu_player[8],2.84147,0.0262349,0.0614355,0.0637518,2.73698,2.84498,2.93947,9.434,800.0,1.34454
mu_player[9],2.83816,0.0270984,0.062541,0.0660202,2.73419,2.84389,2.93185,9.03338,800.0,1.3588
mu_player[10],2.88245,0.0259035,0.0644297,0.065946,2.78183,2.87809,2.99343,10.3841,800.0,1.29161
mu_player[11],2.8081,0.0239442,0.0686026,0.0716985,2.69496,2.81153,2.91573,14.0596,140.021,1.21329
mu_player[12],2.83788,0.0268566,0.0618937,0.0625583,2.73169,2.84172,2.9353,9.1821,800.0,1.35411
mu_player[13],2.87996,0.0251273,0.0627235,0.063989,2.78014,2.87914,2.98812,10.8049,800.0,1.27703
mu_player[14],2.80587,0.0226091,0.0717663,0.0742486,2.69034,2.80874,2.92909,14.5851,800.0,1.20793
mu_player[15],2.83811,0.0279028,0.0628916,0.0626695,2.72716,2.84612,2.93438,9.2265,90.5085,1.35493
mu_player[16],2.87773,0.0277899,0.0671516,0.0691559,2.7614,2.8784,2.98723,10.1074,800.0,1.30876
mu_player[17],2.83804,0.0270684,0.0611345,0.0640631,2.73312,2.84222,2.93257,8.7204,800.0,1.37814
mu_player[18],2.88065,0.0249794,0.0641959,0.0642559,2.78036,2.87716,2.99204,11.1732,800.0,1.26814
mu_player[19],2.88305,0.0274694,0.0652603,0.069104,2.7767,2.88401,2.99,9.81151,800.0,1.32125
mu_player[20],2.84242,0.0272888,0.0611782,0.0630772,2.73564,2.84818,2.93646,8.72322,800.0,1.38078
mu_player[21],2.8379,0.028457,0.0627115,0.0641373,2.72777,2.84141,2.93238,8.76499,800.0,1.38133
mu_player[22],2.87608,0.0277607,0.0693206,0.0683182,2.75131,2.87575,2.98732,10.2218,800.0,1.30261
mu_player[23],2.8416,0.0263525,0.0621843,0.0673471,2.73764,2.84584,2.93617,9.32873,800.0,1.33921
mu_player[24],2.81118,0.0238563,0.0683641,0.07115,2.69382,2.81098,2.92072,13.3494,800.0,1.22829
mu_player[25],2.88076,0.026894,0.0650687,0.0678438,2.77652,2.87861,2.9864,10.4723,800.0,1.29089
mu_player[26],2.83774,0.0273477,0.064054,0.0678067,2.72928,2.84295,2.93485,9.29567,800.0,1.34443
mu_player[27],2.83669,0.0270835,0.0618667,0.0642559,2.73012,2.84016,2.93282,8.78303,800.0,1.37418
mu_player[28],2.87815,0.0257887,0.0648935,0.0687704,2.77801,2.87467,2.99176,10.425,800.0,1.2877
mu_player[29],2.83934,0.0268857,0.0627228,0.0631291,2.73171,2.84437,2.93492,9.362,800.0,1.33775
mu_player[30],2.84016,0.0277251,0.0628979,0.0635887,2.73306,2.84525,2.93312,9.22376,800.0,1.34854
mu_player[31],2.80853,0.0252683,0.0710046,0.0744488,2.69079,2.81224,2.91789,14.2517,800.0,1.20942
mu_player[32],2.83915,0.02685,0.0625113,0.0642633,2.73382,2.84389,2.93773,8.92116,800.0,1.36514
mu_player[33],2.87704,0.0259716,0.0637485,0.0666651,2.77656,2.87549,2.98423,10.4712,800.0,1.2897
mu_player[34],2.87931,0.0268211,0.0655176,0.0691114,2.768,2.8777,2.98713,10.1092,800.0,1.3056
mu_player[35],2.83676,0.0268508,0.0626397,0.0682737,2.73291,2.84194,2.93251,9.045,800.0,1.3606
mu_player[36],2.83953,0.0267192,0.0606083,0.0591335,2.73425,2.844,2.93194,9.03493,800.0,1.36207
mu_player[37],2.8796,0.0270704,0.0659219,0.0684961,2.77109,2.87742,2.98821,10.0171,800.0,1.31023
mu_player[38],2.87796,0.0271222,0.0655812,0.0707052,2.77632,2.87609,2.98726,10.3825,800.0,1.29451
mu_player[39],2.80791,0.0231977,0.0703051,0.0744339,2.69274,2.80954,2.91812,15.0877,800.0,1.19647
mu_player[40],2.8042,0.0246707,0.0707879,0.0764206,2.6921,2.80475,2.9152,14.4548,800.0,1.20758
mu_player[41],2.80212,0.0219745,0.0682086,0.0733887,2.69221,2.8023,2.9104,15.1254,161.591,1.19941
mu_player[42],2.88113,0.0262719,0.064932,0.071402,2.7814,2.87968,2.98784,10.5892,800.0,1.28879
mu_player[43],2.83957,0.0265846,0.0609909,0.0643819,2.73342,2.84213,2.93683,8.9772,800.0,1.36245
mu_player[44],2.87709,0.0271779,0.0656566,0.0681625,2.77184,2.87652,2.98467,9.9923,800.0,1.31583
mu_player[45],2.876,0.027569,0.069383,0.0706014,2.76581,2.87766,2.99007,10.1042,800.0,1.30947
mu_player[46],2.80176,0.0218675,0.0709084,0.0768357,2.68926,2.80607,2.91793,15.1331,800.0,1.20085
mu_player[47],2.8784,0.0272972,0.0658642,0.0720766,2.77749,2.87578,2.98446,10.4206,800.0,1.29414
mu_player[48],2.83795,0.0276732,0.0622475,0.0614389,2.73104,2.84298,2.93603,9.04579,800.0,1.36578
mu_player[49],2.88192,0.0283574,0.0669224,0.0693115,2.77233,2.88213,2.99169,9.37069,800.0,1.34415
mu_player[50],2.88007,0.0256189,0.0632998,0.0654346,2.78165,2.87973,2.98736,10.5023,800.0,1.29028
mu_player[51],2.88263,0.025409,0.064359,0.0659164,2.78635,2.8792,2.99595,11.314,800.0,1.26219
mu_player[52],2.88112,0.0264339,0.0662221,0.0682367,2.76814,2.88178,2.99045,10.3416,800.0,1.29539
mu_player[53],2.84009,0.0273146,0.0626071,0.0699342,2.73523,2.84538,2.93375,9.73767,800.0,1.33465
mu_player[54],2.88165,0.0272405,0.0657072,0.0699046,2.77285,2.88169,2.98959,10.0835,800.0,1.30838
mu_player[55],2.88074,0.0261171,0.0628106,0.0659979,2.78443,2.87723,2.9858,10.1204,800.0,1.30393
mu_player[56],2.83547,0.0269092,0.0629202,0.0654642,2.72864,2.83988,2.93355,9.32497,800.0,1.34029
mu_player[57],2.84048,0.0280694,0.0625772,0.0646858,2.7264,2.84678,2.93472,8.98923,800.0,1.37201
mu_player[58],2.87862,0.0256441,0.0647329,0.0709795,2.77551,2.87684,2.98561,10.9909,800.0,1.27405
mu_player[59],2.88001,0.0260166,0.0654735,0.0698749,2.77493,2.88201,2.98942,10.5896,800.0,1.28402
mu_player[60],2.88129,0.025829,0.0640005,0.0684961,2.7857,2.87717,2.9873,10.7179,800.0,1.27793
mu_player[61],2.8761,0.0272474,0.0676085,0.0706237,2.75857,2.87807,2.98713,10.1977,800.0,1.30305
mu_player[62],2.88035,0.0255897,0.0634309,0.0647748,2.78312,2.87575,2.98434,11.0051,800.0,1.26983
mu_player[63],2.87719,0.02679,0.0658747,0.0698824,2.76713,2.88132,2.98086,10.369,800.0,1.29517
mu_player[64],2.88113,0.026909,0.0661629,0.0671025,2.76506,2.88046,2.98976,10.3059,800.0,1.29634
mu_player[65],2.87838,0.0268573,0.065359,0.0684516,2.77112,2.87631,2.98421,9.90293,800.0,1.3142
mu_player[66],2.83729,0.0268672,0.0630365,0.0660498,2.72932,2.84281,2.93226,9.01806,800.0,1.35697
mu_player[67],2.80691,0.0238109,0.0688985,0.0707497,2.68791,2.80999,2.9175,14.6441,114.621,1.20637
mu_player[68],2.83905,0.0258748,0.0631713,0.065783,2.73353,2.84299,2.93901,9.69934,96.0911,1.32666
mu_player[69],2.84423,0.0273675,0.062575,0.0688594,2.74035,2.84851,2.9399,9.5001,800.0,1.33387
