,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
lp__,-2951.95,2.06834,31.2133,31.6683,-3003.68,-2951.55,-2900.29,233.228,618.648,1.0097
mu_league,-4.29932,0.032752,0.833866,0.802005,-5.65231,-4.31663,-2.97187,670.413,780.445,1.00772
z_position[1],-1.41525,0.0240801,0.636017,0.610298,-2.53894,-1.3622,-0.455107,732.849,782.632,1.00716
z_position[2],0.129634,0.0187898,0.489235,0.497558,-0.620309,0.112163,0.947258,700.086,876.838,1.00215
z_position[3],0.839087,0.0231875,0.600466,0.597871,-0.0441772,0.794776,1.90498,702.892,613.357,1.00274
sigma_position,1.79532,0.0248172,0.692086,0.566049,0.970012,1.6457,3.17424,773.462,944.643,1.0073
z_player[1],1.25821,0.0150033,0.598503,0.589341,0.287367,1.24716,2.24996,1644.7,1124.45,1.00527
z_player[2],1.22903,0.0126013,0.366805,0.359299,0.650484,1.20337,1.87788,892.363,875.547,1.00471
z_player[3],1.24101,0.0135143,0.436297,0.413052,0.55557,1.2151,1.99784,1097.96,934.529,1.00415
z_player[4],-0.112572,0.0194669,0.873571,0.848089,-1.51397,-0.107091,1.30904,2016.42,1289.1,1.00114
z_player[5],-0.315039,0.0131407,0.511691,0.508932,-1.09928,-0.33166,0.542926,1612.97,1209.4,1.00191
z_player[6],1.39526,0.013509,0.483906,0.46991,0.654107,1.35916,2.24896,1355.57,1033.45,1.00697
z_player[7],-0.0867619,0.0159901,0.654217,0.671111,-1.10826,-0.128294,1.02934,1815.63,1135.86,1.00523
z_player[8],0.632607,0.0154017,0.68048,0.64152,-0.425414,0.578233,1.83177,2311.52,1073.1,1.00269
z_player[9],0.974186,0.0121572,0.376562,0.372887,0.386617,0.953716,1.59867,1031.43,1097.44,1.00371
z_player[10],-0.183973,0.0223343,0.871811,0.86554,-1.56768,-0.215232,1.28055,1580.3,1099.27,1.00341
z_player[11],0.101731,0.0185177,0.762067,0.76345,-1.11415,0.0716818,1.38473,1777.65,1094.31,1.00047
z_player[12],-0.408116,0.0142096,0.640599,0.625817,-1.51136,-0.410168,0.640617,2107.03,1214.36,1.00203
z_player[13],0.74147,0.0133733,0.465802,0.458314,0.0160997,0.721053,1.52161,1254.36,1104.65,1.00105
z_player[14],0.804855,0.0116685,0.357658,0.338692,0.219068,0.790242,1.42452,994.283,1119.11,1.0012
z_player[15],-0.562124,0.0174813,0.852151,0.82313,-1.93597,-0.538461,0.81935,2451.05,927.777,1.00244
z_player[16],-0.0119225,0.0137892,0.599306,0.597463,-0.981543,-0.00870597,1.00239,1943.78,1127.28,1.00602
z_player[17],0.380702,0.0110089,0.394813,0.38256,-0.261399,0.36671,1.05882,1320.71,1185.17,1.0015
z_player[18],-0.69632,0.0127964,0.405923,0.399943,-1.33276,-0.715703,0.00131084,1047.33,1180.96,1.00411
z_player[19],0.896041,0.0122088,0.521931,0.545039,0.100511,0.871884,1.80445,1934.73,1258.57,1.00067
z_player[20],1.18532,0.011234,0.365562,0.374082,0.624992,1.16792,1.83807,1132.21,856.748,1.0017
z_player[21],0.230712,0.0120405,0.405161,0.4088,-0.400976,0.211768,0.929906,1178.15,1013.7,1.00169
z_player[22],-1.02315,0.0130602,0.604517,0.576686,-2.05082,-1.00268,-0.0732583,2185.19,1336.01,0.99994
z_player[23],0.658241,0.0128886,0.354299,0.348688,0.0857907,0.651077,1.27609,772.164,891.368,1.00172
z_player[24],1.05788,0.0100132,0.339167,0.318783,0.51701,1.04583,1.63525,1186.28,1052.09,1.00475
z_player[25],-0.0995729,0.0205556,0.897292,0.907625,-1.59104,-0.0600562,1.33368,1960.52,1216.95,1.0005
z_player[26],-0.120351,0.0179182,0.80584,0.810994,-1.40781,-0.133018,1.26473,2075.87,1111.28,1.00233
z_player[27],0.279921,0.0168456,0.585494,0.572373,-0.604737,0.254008,1.2655,1438.14,873.224,1.00415
z_player[28],-0.210022,0.0183478,0.815959,0.825902,-1.5075,-0.253078,1.19249,2071.2,1285.43,1.00294
z_player[29],0.230492,0.0147506,0.570886,0.570061,-0.675057,0.214758,1.18097,1534.63,1158.16,1.00135
z_player[30],2.09609,0.00926621,0.346396,0.341013,1.54186,2.07805,2.70135,1478.63,919.33,1.00216
z_player[31],1.23707,0.0108501,0.343823,0.33885,0.702926,1.22301,1.82571,1018.31,931.909,1.00125
z_player[32],1.15155,0.00983093,0.408054,0.419823,0.520248,1.13204,1.85023,1794.46,1117.29,1.0011
