cohort,stat,n_obs,n_configs_retained,k_star,silhouette_obs,p_value,verdict
rookie_Center,PTS,215,0,,,,insufficient_configs
rookie_Center,REB,215,0,,,,insufficient_configs
rookie_Center,AST,215,0,,,,insufficient_configs
rookie_Forward,PTS,772,0,,,,insufficient_configs
rookie_Forward,REB,772,0,,,,insufficient_configs
rookie_Forward,AST,772,0,,,,insufficient_configs
rookie_Guard,PTS,611,0,,,,insufficient_configs
rookie_Guard,REB,611,0,,,,insufficient_configs
rookie_Guard,AST,611,0,,,,insufficient_configs
soph_Center,PTS,489,0,,,,insufficient_configs
soph_Center,REB,489,0,,,,insufficient_configs
soph_Center,AST,489,0,,,,insufficient_configs
soph_Forward,PTS,2207,46,2.0,0.24721814401469527,0.588,no_structure
soph_Forward,REB,2207,46,2.0,0.1859580926841741,0.946,no_structure
soph_Forward,AST,2207,46,2.0,0.24415208843064687,0.862,no_structure
soph_Guard,PTS,2568,65,2.0,0.22284102845277773,0.786,no_structure
soph_Guard,REB,2568,65,2.0,0.36365701494459723,0.176,no_structure
soph_Guard,AST,2568,65,2.0,0.25483947353280817,0.89,no_structure
vet_Center,PTS,1499,9,2.0,0.1663534461321322,0.676,no_structure
vet_Center,REB,1499,9,2.0,0.23281485222921683,0.272,no_structure
vet_Center,AST,1499,9,2.0,0.2724638814714068,0.356,no_structure
vet_Forward,PTS,3007,101,2.0,0.32547377606093747,0.46,no_structure
vet_Forward,REB,3007,101,2.0,0.365575081998805,0.516,no_structure
vet_Forward,AST,3007,101,2.0,0.2135442467956227,0.97,no_structure
vet_Guard,PTS,4008,144,2.0,0.27762814943194924,0.614,no_structure
vet_Guard,REB,4008,144,2.0,0.4377728812408773,0.234,no_structure
vet_Guard,AST,4008,144,2.0,0.23956198857312078,0.962,no_structure
