cohort,stat,config,cluster
rookie_Forward,PTS,bottom_bottom_early_away,3
rookie_Forward,PTS,bottom_bottom_early_home,3
rookie_Forward,PTS,bottom_bottom_last20_away,3
rookie_Forward,PTS,bottom_bottom_last20_home,3
rookie_Forward,PTS,bottom_top_early_away,3
rookie_Forward,PTS,bottom_top_early_home,3
rookie_Forward,PTS,high_mid_early_away,3
rookie_Forward,PTS,high_mid_early_home,3
rookie_Forward,PTS,high_mid_last20_away,1
rookie_Forward,PTS,high_mid_last20_home,4
rookie_Forward,PTS,high_top_early_away,2
rookie_Forward,PTS,high_top_early_home,2
rookie_Forward,PTS,high_top_last20_away,1
rookie_Forward,PTS,high_top_last20_home,1
rookie_Forward,PTS,mid_bottom_early_away,3
rookie_Forward,PTS,mid_bottom_early_home,3
rookie_Forward,PTS,mid_bottom_last20_away,3
rookie_Forward,PTS,mid_bottom_last20_home,3
rookie_Forward,PTS,mid_mid_early_away,3
rookie_Forward,PTS,mid_mid_early_home,1
rookie_Forward,PTS,mid_mid_last20_away,3
rookie_Forward,PTS,mid_top_early_away,3
rookie_Forward,PTS,mid_top_early_home,3
rookie_Forward,PTS,mid_top_last20_away,3
rookie_Forward,PTS,mid_top_last20_home,1
rookie_Forward,PTS,top_mid_early_away,3
rookie_Forward,PTS,top_mid_early_home,2
rookie_Forward,PTS,top_mid_last20_away,3
rookie_Forward,PTS,top_mid_last20_home,1
rookie_Forward,PTS,top_top_early_away,2
rookie_Forward,PTS,top_top_early_home,3
rookie_Forward,PTS,top_top_last20_away,3
rookie_Forward,PTS,top_top_last20_home,3
rookie_Forward,REB,bottom_bottom_early_away,1
rookie_Forward,REB,bottom_bottom_early_home,1
rookie_Forward,REB,bottom_bottom_last20_away,2
rookie_Forward,REB,bottom_bottom_last20_home,1
rookie_Forward,REB,bottom_top_early_away,1
rookie_Forward,REB,bottom_top_early_home,1
rookie_Forward,REB,high_mid_early_away,1
rookie_Forward,REB,high_mid_early_home,1
rookie_Forward,REB,high_mid_last20_away,1
rookie_Forward,REB,high_mid_last20_home,1
rookie_Forward,REB,high_top_early_away,1
rookie_Forward,REB,high_top_early_home,1
rookie_Forward,REB,high_top_last20_away,1
rookie_Forward,REB,high_top_last20_home,1
rookie_Forward,REB,mid_bottom_early_away,1
rookie_Forward,REB,mid_bottom_early_home,1
rookie_Forward,REB,mid_bottom_last20_away,2
rookie_Forward,REB,mid_bottom_last20_home,1
rookie_Forward,REB,mid_mid_early_away,1
rookie_Forward,REB,mid_mid_early_home,1
rookie_Forward,REB,mid_mid_last20_away,1
rookie_Forward,REB,mid_top_early_away,1
rookie_Forward,REB,mid_top_early_home,1
rookie_Forward,REB,mid_top_last20_away,1
rookie_Forward,REB,mid_top_last20_home,1
rookie_Forward,REB,top_mid_early_away,1
rookie_Forward,REB,top_mid_early_home,1
rookie_Forward,REB,top_mid_last20_away,1
rookie_Forward,REB,top_mid_last20_home,1
rookie_Forward,REB,top_top_early_away,1
rookie_Forward,REB,top_top_early_home,1
rookie_Forward,REB,top_top_last20_away,1
rookie_Forward,REB,top_top_last20_home,1
rookie_Forward,AST,bottom_bottom_early_away,2
rookie_Forward,AST,bottom_bottom_early_home,2
rookie_Forward,AST,bottom_bottom_last20_away,1
rookie_Forward,AST,bottom_bottom_last20_home,2
rookie_Forward,AST,bottom_top_early_away,2
rookie_Forward,AST,bottom_top_early_home,2
rookie_Forward,AST,high_mid_early_away,2
rookie_Forward,AST,high_mid_early_home,2
rookie_Forward,AST,high_mid_last20_away,2
rookie_Forward,AST,high_mid_last20_home,2
rookie_Forward,AST,high_top_early_away,2
rookie_Forward,AST,high_top_early_home,2
rookie_Forward,AST,high_top_last20_away,2
rookie_Forward,AST,high_top_last20_home,2
rookie_Forward,AST,mid_bottom_early_away,2
rookie_Forward,AST,mid_bottom_early_home,2
rookie_Forward,AST,mid_bottom_last20_away,1
rookie_Forward,AST,mid_bottom_last20_home,2
rookie_Forward,AST,mid_mid_early_away,2
rookie_Forward,AST,mid_mid_early_home,2
rookie_Forward,AST,mid_mid_last20_away,2
rookie_Forward,AST,mid_top_early_away,2
rookie_Forward,AST,mid_top_early_home,2
rookie_Forward,AST,mid_top_last20_away,2
rookie_Forward,AST,mid_top_last20_home,2
rookie_Forward,AST,top_mid_early_away,2
rookie_Forward,AST,top_mid_early_home,2
rookie_Forward,AST,top_mid_last20_away,2
rookie_Forward,AST,top_mid_last20_home,2
rookie_Forward,AST,top_top_early_away,2
rookie_Forward,AST,top_top_early_home,2
rookie_Forward,AST,top_top_last20_away,1
rookie_Forward,AST,top_top_last20_home,2
rookie_Guard,PTS,bottom_bottom_early_away,1
rookie_Guard,PTS,bottom_bottom_early_home,1
rookie_Guard,PTS,bottom_bottom_last20_away,1
rookie_Guard,PTS,bottom_bottom_last20_home,1
rookie_Guard,PTS,bottom_top_early_away,1
rookie_Guard,PTS,bottom_top_early_home,1
rookie_Guard,PTS,bottom_top_last20_home,1
rookie_Guard,PTS,high_mid_early_away,1
rookie_Guard,PTS,high_mid_early_home,1
rookie_Guard,PTS,high_mid_last20_away,1
rookie_Guard,PTS,high_top_early_away,1
rookie_Guard,PTS,high_top_early_home,1
rookie_Guard,PTS,high_top_last20_away,1
rookie_Guard,PTS,high_top_last20_home,1
rookie_Guard,PTS,mid_bottom_early_away,1
rookie_Guard,PTS,mid_bottom_early_home,1
rookie_Guard,PTS,mid_bottom_last20_away,1
rookie_Guard,PTS,mid_bottom_last20_home,1
rookie_Guard,PTS,mid_mid_early_away,1
rookie_Guard,PTS,mid_mid_last20_away,1
rookie_Guard,PTS,mid_top_early_away,1
rookie_Guard,PTS,mid_top_early_home,1
rookie_Guard,PTS,mid_top_last20_away,1
rookie_Guard,PTS,top_mid_early_away,1
rookie_Guard,PTS,top_mid_early_home,1
rookie_Guard,PTS,top_mid_last20_home,1
rookie_Guard,PTS,top_top_early_away,1
rookie_Guard,PTS,top_top_early_home,2
rookie_Guard,PTS,top_top_last20_away,1
rookie_Guard,PTS,top_top_last20_home,1
rookie_Guard,REB,bottom_bottom_early_away,1
rookie_Guard,REB,bottom_bottom_early_home,1
rookie_Guard,REB,bottom_bottom_last20_away,1
rookie_Guard,REB,bottom_bottom_last20_home,1
rookie_Guard,REB,bottom_top_early_away,1
rookie_Guard,REB,bottom_top_early_home,1
rookie_Guard,REB,bottom_top_last20_home,1
rookie_Guard,REB,high_mid_early_away,1
rookie_Guard,REB,high_mid_early_home,1
