team,games_predicted,games_played,expected_wins,wins_to_date,expected_wins_remaining,projected_total_wins,projected_total_losses,rank
OKC,78,78,48.75454020329024,61,0.0,61.0,17.0,1
SAS,78,78,45.112692958464194,58,0.0,58.0,20.0,2
DET,78,78,44.727224943598124,57,0.0,57.0,21.0,3
BOS,78,78,44.6218701682589,55,0.0,55.0,23.0,4
DEN,79,79,43.08792139571509,52,0.0,52.0,27.0,5
LAL,79,79,41.56847575671997,51,0.0,51.0,28.0,6
HOU,79,79,42.5966174986065,51,0.0,51.0,28.0,7
NYK,78,78,43.697915435790854,50,0.0,50.0,28.0,8
CLE,79,79,43.35959658026034,50,0.0,50.0,29.0,9
MIN,78,78,41.6797923492859,47,0.0,47.0,31.0,10
ATL,78,78,42.29668408538567,45,0.0,45.0,33.0,11
TOR,79,79,41.334046188524276,45,0.0,45.0,34.0,12
PHX,78,78,39.690815923731904,44,0.0,44.0,34.0,13
ORL,75,75,37.41085575647769,43,0.0,43.0,32.0,14
CHA,79,79,41.63597875697379,42,0.0,42.0,37.0,15
PHI,79,79,38.57109472838626,42,0.0,42.0,37.0,16
POR,79,79,37.78426217046592,41,0.0,41.0,38.0,17
MIA,79,79,41.046401560876056,41,0.0,41.0,38.0,18
LAC,79,79,40.343725193035056,40,0.0,40.0,39.0,19
GSW,79,79,39.2632102669203,35,0.0,35.0,44.0,20
MIL,79,79,35.17641522795885,30,0.0,30.0,49.0,21
CHI,79,79,37.48179274015768,28,0.0,28.0,51.0,22
NOP,79,79,36.21191706543527,26,0.0,26.0,53.0,23
DAL,78,78,34.29618128175462,25,0.0,25.0,53.0,24
MEM,77,77,35.46981654620099,22,0.0,22.0,55.0,25
SAC,79,79,31.355592511942753,21,0.0,21.0,58.0,26
UTA,79,79,33.14333335133971,20,0.0,20.0,59.0,27
BKN,78,78,31.705772694099448,20,0.0,20.0,58.0,28
IND,79,79,33.1396039154386,19,0.0,19.0,60.0,29
WAS,79,79,30.43585274490503,16,0.0,16.0,63.0,30
