team,strength_points,projected_total_wins
OKC,15.411621602964553,61.0
SAS,12.856224205468553,58.0
DET,12.062041322892933,57.0
BOS,10.541762993199267,55.0
DEN,7.944577592484588,52.0
LAL,7.275148832148872,51.0
HOU,7.275148832148872,51.0
NYK,7.037517304594719,50.0
CLE,6.616421466859478,50.0
MIN,5.073620128258357,47.0
ATL,3.8015545012054823,45.0
TOR,3.443318943409313,45.0
PHX,3.173644673184609,44.0
ORL,3.6252659162854437,43.0
CHA,1.6007158292291344,42.0
PHI,1.6007158292291344,42.0
POR,0.9915262452944754,41.0
MIA,0.9915262452944754,41.0
LAC,0.38350905737089086,40.0
GSW,-2.666403507586761,35.0
MIL,-5.807779635822244,30.0
CHI,-7.11575810903005,28.0
NOP,-8.466649144808269,26.0
DAL,-8.937297702647642,25.0
MEM,-10.91579342093045,22.0
SAC,-12.111351512316547,21.0
UTA,-12.90196668266133,20.0
BKN,-12.696833482349732,20.0
IND,-13.719171635108513,19.0
WAS,-16.366856688261606,16.0
