,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
lp__,-14928.5,2.42921,51.0231,50.1119,-15013.3,-14928.5,-14848.3,440.376,533.692,1.00607
mu_league_zone_eff[1],0.671051,0.00976956,0.17408,0.135573,0.380739,0.676242,0.93551,341.321,369.839,1.00666
mu_league_zone_eff[2],-0.267296,0.00553796,0.115659,0.0744184,-0.434005,-0.272407,-0.0706758,482.525,481.888,1.0089
mu_league_zone_eff[3],-0.385342,0.00496993,0.0789136,0.0389657,-0.484201,-0.390454,-0.26454,430.685,211.922,1.00487
mu_league_zone_eff[4],-0.53763,0.00939168,0.179617,0.128053,-0.829125,-0.535778,-0.255564,438.507,412.731,1.00608
mu_league_zone_eff[5],-0.484775,0.00454692,0.10464,0.0567087,-0.625538,-0.480395,-0.349841,622.052,658.924,1.00902
mu_league_zone_eff[6],-0.624413,0.00225004,0.0453834,0.0261805,-0.700723,-0.621862,-0.553812,505.125,396.569,1.01348
"z_position_zone_eff[1,1]",-0.833063,0.0319664,0.688473,0.662297,-2.05459,-0.774387,0.219013,453.462,363.714,1.00615
"z_position_zone_eff[1,2]",-0.625709,0.0287852,0.642198,0.637207,-1.66518,-0.611504,0.42077,520.695,943.807,1.00794
"z_position_zone_eff[1,3]",0.477049,0.0290848,0.743327,0.712566,-0.692213,0.452439,1.74562,639.218,446.809,1.0013
"z_position_zone_eff[1,4]",0.62528,0.0308737,0.634495,0.641743,-0.399309,0.614526,1.70536,425.208,466.789,1.0045
"z_position_zone_eff[1,5]",0.652411,0.0258602,0.716986,0.703707,-0.458275,0.610816,1.88018,761.436,885.365,1.00547
"z_position_zone_eff[1,6]",0.644237,0.0266618,0.738181,0.742695,-0.481051,0.612889,1.94152,754.644,800.0,1.00386
"z_position_zone_eff[2,1]",0.0876122,0.0307746,0.539939,0.520512,-0.810692,0.0757769,0.971764,339.523,423.068,1.01072
