,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
lp__,-24034.6,11.649,97.3685,101.113,-24197.4,-24035.8,-23883.6,55.7113,473.482,1.06738
mu_league_zone[1],-2.24325,0.0128824,0.279579,0.235667,-2.68845,-2.23965,-1.81778,511.119,525.764,1.00383
mu_league_zone[2],-2.89296,0.00818344,0.147727,0.103033,-3.1166,-2.89724,-2.66386,399.514,407.988,1.00633
mu_league_zone[3],-3.63107,0.0136133,0.309584,0.275445,-4.12771,-3.64437,-3.09352,530.146,772.598,1.00428
mu_league_zone[4],-4.52888,0.0197601,0.51914,0.458946,-5.33336,-4.54854,-3.60298,715.728,950.675,1.0013
mu_league_zone[5],-4.55265,0.0221631,0.532499,0.49868,-5.39095,-4.57898,-3.66301,591.599,708.365,1.00543
mu_league_zone[6],-2.85708,0.0225528,0.50839,0.478353,-3.65997,-2.86734,-2.03884,548.628,930.703,1.00552
"z_position_zone[1,1]",-0.827201,0.0270383,0.640125,0.634144,-1.90449,-0.82716,0.234473,570.194,494.478,1.0012
"z_position_zone[1,2]",-0.143244,0.0257274,0.627132,0.612427,-1.16635,-0.133807,0.901069,607.629,837.446,1.00379
"z_position_zone[1,3]",0.865446,0.0287556,0.714133,0.73842,-0.219803,0.811029,2.08398,608.624,696.232,1.00309
"z_position_zone[1,4]",0.652176,0.0222843,0.568917,0.562381,-0.256585,0.637335,1.60613,680.078,786.435,1.00287
"z_position_zone[1,5]",0.540715,0.0255409,0.581603,0.584177,-0.351484,0.491584,1.53999,523.277,746.047,1.00283
"z_position_zone[1,6]",0.759216,0.0228672,0.582972,0.587904,-0.114064,0.719815,1.78912,655.17,959.198,1.00498
"z_position_zone[2,1]",-0.133496,0.0250485,0.552978,0.551337,-1.03356,-0.156672,0.808253,500.442,765.43,1.00527
"z_position_zone[2,2]",-0.661196,0.0284169,0.664335,0.664247,-1.78144,-0.645382,0.400058,550.701,858.76,1.00742
"z_position_zone[2,3]",-0.0691084,0.0239227,0.587292,0.596601,-1.00603,-0.0835007,0.877457,608.971,731.973,1.00439
"z_position_zone[2,4]",0.514302,0.0217232,0.546758,0.53676,-0.368541,0.505168,1.4531,663.502,864.419,1.00209
"z_position_zone[2,5]",0.484284,0.0249706,0.572285,0.568078,-0.375974,0.442288,1.46352,533.101,823.252,1.00297
"z_position_zone[2,6]",0.251959,0.0210644,0.520298,0.516444,-0.537443,0.21596,1.12923,620.034,881.04,1.00336
"z_position_zone[3,1]",1.01799,0.0287042,0.713509,0.726616,-0.0343695,0.981148,2.27135,618.92,663.789,1.0047
"z_position_zone[3,2]",0.716998,0.0249415,0.712482,0.712189,-0.378944,0.698045,1.93027,813.644,866.181,1.00205
"z_position_zone[3,3]",-1.03613,0.0235725,0.670612,0.664315,-2.21119,-1.02466,0.0201938,788.317,823.155,1.00394
"z_position_zone[3,4]",-1.56193,0.0228933,0.675516,0.659423,-2.76019,-1.48723,-0.57306,882.68,1144.73,1.00042
"z_position_zone[3,5]",-1.56374,0.0214252,0.652751,0.667489,-2.68973,-1.52495,-0.56724,940.052,1123.17,1.00334
"z_position_zone[3,6]",-1.55614,0.0216285,0.64296,0.640935,-2.66688,-1.52919,-0.547131,874.375,1060.6,1.00098
sigma_position_zone[1],0.483501,0.00965726,0.24919,0.195121,0.218843,0.422468,0.980047,757.018,896.405,1.0079
sigma_position_zone[2],0.225114,0.00852196,0.197922,0.112762,0.0565009,0.172509,0.562542,415.655,566.305,1.00944
sigma_position_zone[3],0.542556,0.0114759,0.292742,0.202033,0.237876,0.465792,1.12873,671.531,737.755,1.0027
sigma_position_zone[4],1.05879,0.0132194,0.398896,0.332782,0.57401,0.983369,1.81699,904.654,1147.5,1.00181
sigma_position_zone[5],1.05199,0.013671,0.403805,0.328602,0.573819,0.965339,1.85348,831.254,1136.1,1.00181
sigma_position_zone[6],1.0349,0.0131842,0.373675,0.311478,0.582038,0.959549,1.78301,818.262,1192.53,1.00657
"z_player_zone[1,1]",-0.157346,0.0172471,0.875185,0.884941,-1.56182,-0.166421,1.33305,2651.88,1191.28,1.00252
"z_player_zone[1,2]",-0.00347708,0.0170436,0.7816,0.778922,-1.33554,0.00503421,1.28164,2118.19,1052.31,1.00628
"z_player_zone[1,3]",0.217821,0.0161845,0.747901,0.732871,-0.983794,0.188376,1.50089,2306.72,1174.93,1.00375
"z_player_zone[1,4]",-0.0465796,0.0188175,0.812369,0.782243,-1.36577,-0.0490594,1.34123,1951.56,1028.1,1.00001
"z_player_zone[1,5]",0.0780962,0.0168493,0.814411,0.820373,-1.26513,0.0732971,1.43081,2442.96,1098.8,1.0117
"z_player_zone[1,6]",0.387389,0.016151,0.632596,0.606183,-0.607693,0.350986,1.45397,1659.17,1097.41,0.999644
"z_player_zone[2,1]",2.52463,0.0118442,0.393718,0.40025,1.90123,2.5213,3.17946,1147.76,1062.89,1.00129
