row_idx,nba_api_id,season,role_mode
0,1713,2019-20,league_fallback
1,2544,2019-20,league_fallback
2,2544,2020-21,team
3,2544,2021-22,team
4,2544,2022-23,team
5,2546,2019-20,league_fallback
6,2546,2020-21,team
7,2546,2021-22,trade
8,2594,2019-20,league_fallback
9,2730,2019-20,league_fallback
10,2730,2020-21,trade
11,2730,2021-22,trade
12,2738,2020-21,team
13,2738,2021-22,trade
14,2772,2019-20,league_fallback
15,2772,2020-21,trade
16,101107,2019-20,league_fallback
17,101108,2019-20,league_fallback
18,101108,2020-21,trade
19,101108,2021-22,team
20,101108,2022-23,team
21,101133,2019-20,league_fallback
22,101141,2019-20,league_fallback
23,101150,2019-20,league_fallback
24,101150,2020-21,team
25,101150,2021-22,trade
26,200746,2019-20,league_fallback
27,200746,2020-21,team
28,200746,2021-22,trade
29,200752,2019-20,league_fallback
30,200752,2020-21,team
31,200752,2021-22,trade
32,200752,2022-23,team
33,200755,2019-20,league_fallback
34,200755,2020-21,team
35,200765,2019-20,league_fallback
36,200765,2020-21,trade
37,200765,2021-22,trade
38,200768,2019-20,league_fallback
39,200768,2020-21,team
40,200768,2021-22,trade
41,200768,2022-23,team
42,200782,2019-20,league_fallback
43,200782,2020-21,team
44,200782,2021-22,trade
45,200782,2022-23,trade
46,200794,2019-20,league_fallback
47,200794,2020-21,team
48,201142,2020-21,fa
49,201142,2021-22,team
50,201142,2022-23,team
51,201143,2019-20,league_fallback
52,201143,2020-21,trade
53,201143,2021-22,trade
54,201143,2022-23,team
55,201144,2019-20,league_fallback
56,201144,2020-21,team
57,201144,2021-22,team
58,201144,2022-23,team
59,201145,2019-20,league_fallback
60,201145,2020-21,trade
61,201145,2021-22,trade
62,201145,2022-23,team
63,201152,2019-20,league_fallback
64,201152,2020-21,team
65,201152,2021-22,trade
66,201152,2022-23,team
67,201158,2019-20,league_fallback
68,201163,2019-20,league_fallback
69,201188,2019-20,league_fallback
70,201188,2020-21,trade
71,201229,2019-20,league_fallback
72,201565,2019-20,league_fallback
73,201565,2020-21,trade
74,201565,2021-22,team
75,201566,2019-20,league_fallback
76,201566,2020-21,trade
77,201566,2021-22,trade
78,201566,2022-23,team
79,201567,2019-20,league_fallback
80,201567,2020-21,team
81,201567,2021-22,team
82,201567,2022-23,team
83,201568,2019-20,league_fallback
84,201568,2020-21,trade
85,201568,2021-22,team
86,201569,2019-20,league_fallback
87,201569,2020-21,team
88,201569,2021-22,team
89,201569,2022-23,team
90,201571,2019-20,league_fallback
91,201571,2020-21,trade
92,201571,2021-22,trade
93,201572,2019-20,league_fallback
94,201572,2020-21,team
95,201572,2022-23,team
96,201577,2019-20,league_fallback
97,201577,2020-21,trade
98,201577,2021-22,trade
99,201580,2019-20,league_fallback
100,201580,2020-21,trade
101,201580,2021-22,trade
102,201586,2019-20,league_fallback
103,201586,2020-21,trade
104,201586,2021-22,team
105,201587,2019-20,league_fallback
106,201587,2020-21,trade
107,201587,2021-22,team
108,201587,2022-23,team
109,201588,2019-20,league_fallback
110,201588,2020-21,trade
111,201588,2021-22,trade
112,201588,2022-23,team
113,201599,2019-20,league_fallback
114,201599,2020-21,team
115,201599,2021-22,trade
116,201599,2022-23,trade
117,201609,2019-20,league_fallback
118,201609,2020-21,team
119,201609,2022-23,trade
120,201933,2019-20,league_fallback
121,201933,2020-21,team
122,201933,2021-22,trade
123,201933,2022-23,trade
124,201935,2019-20,league_fallback
125,201935,2020-21,trade
126,201935,2021-22,team
127,201935,2022-23,trade
128,201937,2019-20,league_fallback
129,201937,2020-21,trade
130,201937,2021-22,trade
131,201937,2022-23,team
132,201939,2020-21,team
133,201939,2021-22,team
134,201939,2022-23,team
135,201942,2019-20,league_fallback
136,201942,2020-21,team
137,201942,2021-22,trade
138,201942,2022-23,team
139,201949,2019-20,league_fallback
140,201949,2020-21,trade
141,201949,2021-22,trade
142,201950,2019-20,league_fallback
143,201950,2020-21,trade
144,201950,2021-22,team
145,201950,2022-23,team
146,201952,2019-20,league_fallback
147,201952,2020-21,trade
148,201959,2019-20,league_fallback
149,201959,2020-21,team
150,201959,2021-22,team
151,201961,2019-20,league_fallback
152,201961,2020-21,trade
153,201961,2021-22,trade
154,201976,2019-20,league_fallback
155,201976,2020-21,team
156,201976,2021-22,trade
157,201976,2022-23,trade
158,201980,2019-20,league_fallback
159,201980,2020-21,trade
160,201980,2021-22,team
161,201988,2019-20,league_fallback
162,201988,2020-21,team
163,201988,2021-22,trade
164,201988,2022-23,team
165,202066,2019-20,league_fallback
166,202066,2020-21,trade
167,202066,2021-22,trade
168,202083,2019-20,league_fallback
169,202083,2020-21,trade
170,202083,2021-22,trade
171,202083,2022-23,team
172,202322,2020-21,fa
173,202322,2022-23,fa
174,202324,2019-20,league_fallback
175,202324,2020-21,trade
176,202324,2021-22,trade
177,202326,2020-21,fa
178,202326,2021-22,trade
179,202330,2019-20,league_fallback
180,202330,2020-21,trade
181,202330,2021-22,team
182,202330,2022-23,team
183,202331,2019-20,league_fallback
184,202331,2020-21,team
185,202331,2021-22,team
186,202331,2022-23,team
187,202335,2019-20,league_fallback
188,202335,2020-21,team
189,202339,2019-20,league_fallback
190,202339,2020-21,trade
191,202339,2021-22,trade
192,202340,2019-20,league_fallback
193,202340,2020-21,trade
194,202340,2021-22,trade
195,202355,2019-20,league_fallback
196,202355,2020-21,trade
197,202355,2021-22,trade
198,202357,2019-20,league_fallback
199,202357,2020-21,team
200,202357,2021-22,trade
201,202362,2021-22,fa
202,202397,2019-20,league_fallback
203,202397,2020-21,team
204,202397,2021-22,team
205,202681,2019-20,league_fallback
206,202681,2020-21,team
207,202681,2021-22,team
208,202681,2022-23,team
209,202683,2019-20,league_fallback
210,202683,2020-21,trade
211,202684,2019-20,league_fallback
212,202684,2020-21,trade
213,202684,2021-22,trade
214,202685,2019-20,league_fallback
215,202685,2020-21,team
216,202685,2021-22,trade
217,202685,2022-23,team
218,202687,2019-20,league_fallback
219,202687,2020-21,team
220,202687,2021-22,trade
221,202687,2022-23,team
222,202689,2019-20,league_fallback
223,202689,2020-21,team
224,202689,2021-22,trade
225,202691,2021-22,fa
226,202691,2022-23,team
227,202692,2019-20,league_fallback
228,202692,2020-21,trade
229,202692,2021-22,team
230,202692,2022-23,trade
231,202693,2019-20,league_fallback
232,202693,2020-21,trade
233,202694,2019-20,league_fallback
234,202694,2020-21,trade
235,202694,2021-22,team
236,202694,2022-23,team
237,202695,2019-20,league_fallback
238,202695,2020-21,team
239,202695,2022-23,fa
240,202696,2019-20,league_fallback
241,202696,2020-21,team
242,202696,2021-22,trade
243,202696,2022-23,team
244,202699,2019-20,league_fallback
245,202699,2020-21,team
246,202699,2021-22,team
247,202699,2022-23,team
248,202704,2019-20,league_fallback
249,202704,2020-21,trade
250,202704,2021-22,team
251,202704,2022-23,team
252,202709,2019-20,league_fallback
253,202709,2020-21,team
254,202709,2021-22,trade
255,202709,2022-23,team
256,202710,2019-20,league_fallback
257,202710,2020-21,team
258,202710,2021-22,team
259,202710,2022-23,team
260,202711,2019-20,league_fallback
261,202711,2020-21,team
262,202711,2021-22,team
263,202711,2022-23,trade
264,202722,2019-20,league_fallback
265,202722,2020-21,team
266,202722,2021-22,team
267,202734,2019-20,league_fallback
268,202738,2019-20,league_fallback
269,202954,2019-20,league_fallback
270,202954,2020-21,trade
271,203076,2019-20,league_fallback
272,203076,2020-21,team
273,203076,2021-22,team
274,203076,2022-23,team
275,203078,2019-20,league_fallback
276,203078,2020-21,team
277,203078,2021-22,team
278,203078,2022-23,team
279,203081,2019-20,league_fallback
280,203081,2020-21,team
281,203081,2021-22,team
282,203081,2022-23,team
283,203082,2019-20,league_fallback
284,203082,2020-21,team
285,203082,2021-22,team
286,203082,2022-23,team
287,203083,2019-20,league_fallback
288,203083,2020-21,trade
289,203083,2021-22,trade
290,203083,2022-23,trade
