,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
lp__,-23288.3,4.9812,79.1073,82.5067,-23416.5,-23288.8,-23154.3,260.693,504.65,1.008
mu_league_zone[1],-2.21876,0.012989,0.286205,0.234547,-2.66204,-2.23067,-1.73449,515.212,542.801,1.00539
mu_league_zone[2],-2.88355,0.00786742,0.1572,0.0993713,-3.09886,-2.89284,-2.62829,484.583,460.966,1.01188
mu_league_zone[3],-3.64048,0.011598,0.296609,0.245459,-4.11858,-3.64461,-3.13319,674.546,957.332,1.00124
mu_league_zone[4],-4.49221,0.0208552,0.50027,0.473365,-5.28811,-4.51249,-3.6349,598.004,818.38,1.01294
mu_league_zone[5],-4.5782,0.0222905,0.517416,0.46504,-5.32544,-4.61097,-3.67734,564.03,748.195,1.00395
mu_league_zone[6],-2.8276,0.0279585,0.532771,0.525938,-3.67135,-2.83861,-1.959,374.858,689.694,1.00847
"z_position_zone[1,1]",-0.86338,0.0277832,0.669453,0.662053,-2.00826,-0.838944,0.175914,599.929,679.546,1.00432
"z_position_zone[1,2]",-0.145303,0.0248869,0.632922,0.590512,-1.19652,-0.161234,0.917984,659.294,956.426,1.00335
"z_position_zone[1,3]",0.899483,0.0251141,0.686887,0.698955,-0.175383,0.866795,2.08663,773.444,1045.29,1.00387
"z_position_zone[1,4]",0.648722,0.0244724,0.566594,0.575853,-0.239018,0.608889,1.65332,560.061,658.247,1.01561
"z_position_zone[1,5]",0.582031,0.0247361,0.566061,0.554228,-0.352427,0.573522,1.52839,527.267,674.336,1.00491
"z_position_zone[1,6]",0.73372,0.0352498,0.616426,0.620405,-0.199604,0.703291,1.75819,313.856,682.215,1.00573
"z_position_zone[2,1]",-0.174749,0.0238917,0.572737,0.563639,-1.13071,-0.150349,0.730305,588.047,890.502,1.00166
"z_position_zone[2,2]",-0.701485,0.0258715,0.690952,0.674291,-1.8907,-0.675897,0.38906,730.433,995.458,1.00608
"z_position_zone[2,3]",-0.0645962,0.0210191,0.559145,0.551742,-1.04178,-0.0531229,0.821745,731.758,968.073,1.00151
"z_position_zone[2,4]",0.483318,0.0227661,0.538507,0.556727,-0.365816,0.454418,1.42736,578.773,716.108,1.01344
"z_position_zone[2,5]",0.517298,0.0241298,0.552311,0.551547,-0.383894,0.519421,1.44969,528.349,707.0,1.00472
"z_position_zone[2,6]",0.23687,0.0309644,0.541963,0.556719,-0.608545,0.216958,1.13345,312.281,499.559,1.00821
"z_position_zone[3,1]",0.958076,0.0308673,0.721958,0.71118,-0.184053,0.920704,2.20435,552.645,574.675,1.00429
"z_position_zone[3,2]",0.668196,0.0258719,0.734082,0.738717,-0.457231,0.624087,1.9467,791.801,721.035,1.00599
"z_position_zone[3,3]",-1.03015,0.0235075,0.671155,0.667459,-2.17042,-1.00602,0.0431421,820.373,930.107,1.00385
"z_position_zone[3,4]",-1.58577,0.0228489,0.667785,0.659171,-2.75824,-1.51745,-0.576547,881.516,926.055,1.00266
"z_position_zone[3,5]",-1.53016,0.0233181,0.663893,0.652574,-2.70405,-1.4909,-0.517961,815.955,838.622,1.00014
"z_position_zone[3,6]",-1.55859,0.0217648,0.653023,0.660009,-2.7292,-1.49683,-0.571185,898.797,1126.08,1.00425
sigma_position_zone[1],0.485841,0.0110341,0.264473,0.190048,0.216719,0.417045,0.978115,561.776,1009.18,1.01201
sigma_position_zone[2],0.224672,0.00837339,0.184875,0.110439,0.0509829,0.172735,0.570986,369.566,433.5,1.01923
sigma_position_zone[3],0.516607,0.00978189,0.258518,0.207296,0.232687,0.451457,0.998386,602.38,808.968,1.0074
sigma_position_zone[4],1.02843,0.0133527,0.388399,0.318293,0.572313,0.956125,1.78931,727.646,709.048,1.00681
sigma_position_zone[5],1.02495,0.0137243,0.391722,0.332265,0.563205,0.94508,1.76137,798.304,975.404,1.00276
sigma_position_zone[6],1.04546,0.0136394,0.385668,0.32732,0.576106,0.971686,1.79013,738.153,980.46,1.0027
"z_player_zone[1,1]",-0.139276,0.0184595,0.865041,0.864609,-1.54604,-0.156185,1.30047,2238.0,1320.2,1.00013
"z_player_zone[1,2]",0.00513585,0.0170377,0.787741,0.811202,-1.20293,-0.00903552,1.27224,2199.91,1099.17,1.00156
"z_player_zone[1,3]",0.235389,0.0197023,0.76421,0.746065,-0.981863,0.218095,1.4982,1573.9,1175.47,1.00849
"z_player_zone[1,4]",-0.00959413,0.0164983,0.795977,0.761683,-1.34335,-0.00283417,1.31272,2393.63,1218.19,1.00234
"z_player_zone[1,5]",0.125691,0.0173929,0.78601,0.791781,-1.1299,0.12524,1.39959,2123.39,1382.71,1.00337
"z_player_zone[1,6]",0.377804,0.0139776,0.643264,0.610124,-0.625467,0.350967,1.48858,2197.67,1154.1,0.999897
"z_player_zone[2,1]",2.55436,0.0140594,0.41203,0.406351,1.86032,2.54537,3.21378,897.051,1107.73,0.999333
"z_player_zone[2,2]",0.695664,0.0126401,0.39697,0.395149,0.0641559,0.67944,1.37884,984.32,672.862,1.00201
"z_player_zone[2,3]",1.44417,0.011807,0.388605,0.37767,0.786461,1.44735,2.08139,1101.16,1008.69,1.00487
"z_player_zone[2,4]",-1.07356,0.0115414,0.464536,0.466886,-1.82752,-1.06938,-0.307791,1674.29,1104.62,0.998876
"z_player_zone[2,5]",-0.807863,0.0125633,0.468803,0.484074,-1.58009,-0.800307,-0.0340835,1441.6,956.6,1.00226
"z_player_zone[2,6]",1.10905,0.0127853,0.31488,0.309209,0.619879,1.10167,1.65047,630.568,849.242,1.00628
"z_player_zone[3,1]",-0.599855,0.0125407,0.548773,0.541374,-1.48275,-0.619009,0.330111,2009.09,1206.98,1.00098
"z_player_zone[3,2]",-0.235911,0.012706,0.504794,0.488766,-1.06492,-0.245048,0.609643,1613.24,924.141,1.00278
"z_player_zone[3,3]",1.69843,0.0121193,0.450284,0.455091,0.969706,1.66696,2.44833,1437.0,1147.53,0.999031
"z_player_zone[3,4]",0.184621,0.0135142,0.506931,0.53475,-0.648215,0.170016,1.04465,1436.93,1101.91,1.00226
"z_player_zone[3,5]",0.251701,0.0135471,0.526864,0.541324,-0.585538,0.219867,1.13926,1550.88,1029.67,1.00511
"z_player_zone[3,6]",0.897404,0.0133523,0.365014,0.372207,0.335222,0.892881,1.49052,789.079,967.43,1.00446
"z_player_zone[4,1]",-0.67047,0.0166034,0.856151,0.828021,-2.06952,-0.682754,0.834617,2731.08,1159.47,1.00285
"z_player_zone[4,2]",-0.664705,0.0179094,0.898534,0.875672,-2.12071,-0.670735,0.812198,2623.81,1079.28,1.00486
"z_player_zone[4,3]",0.069687,0.0161685,0.753019,0.755413,-1.15733,0.0363333,1.31795,2269.52,1136.95,0.998732
"z_player_zone[4,4]",0.234344,0.0148981,0.752134,0.744862,-1.00596,0.225427,1.50228,2629.62,1202.26,1.00831
