,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
lp__,-3081.26,0.819747,17.8331,18.1174,-3110.8,-3080.18,-3052.36,478.739,835.831,1.01064
mu_league,-3.52895,0.00390002,0.072665,0.0534922,-3.64137,-3.53144,-3.40532,418.177,347.907,1.01345
z_position[1],0.699301,0.0300866,0.69947,0.673478,-0.417469,0.65738,1.88577,490.011,444.888,1.01162
z_position[2],-0.0186289,0.0235143,0.580781,0.551153,-0.985816,-0.00969252,0.975717,582.147,800.0,1.01277
z_position[3],-0.74818,0.0257425,0.679365,0.685325,-1.92185,-0.709234,0.283171,659.072,696.652,1.01025
sigma_position,0.119773,0.00426728,0.0756108,0.0564458,0.0392882,0.095976,0.279569,379.77,320.126,1.01585
z_player[1],-0.00301579,0.0206893,0.959787,0.936462,-1.59957,0.0110688,1.52755,2218.2,1168.38,1.00524
z_player[2],0.15791,0.0233783,0.994397,1.02507,-1.47135,0.141535,1.87979,1962.85,1146.04,1.00462
z_player[3],0.0730533,0.019799,1.00333,0.987733,-1.65407,0.0540447,1.74907,2604.78,1124.56,1.00462
z_player[4],0.0281901,0.0246478,0.989728,1.0084,-1.55056,0.0142484,1.66388,1646.41,1052.02,1.00209
z_player[5],-0.0320099,0.0278325,1.01121,1.05592,-1.72607,-0.0560877,1.58754,1349.25,617.043,1.01163
z_player[6],-0.00716517,0.0246268,0.954813,0.946186,-1.5396,-0.0208802,1.58893,1550.99,1138.17,1.00226
z_player[7],0.00397765,0.0253255,0.986438,1.0087,-1.5572,0.000555669,1.61754,1575.62,845.6,1.00569
z_player[8],-0.0219768,0.0277078,1.02475,1.01223,-1.6603,-0.033646,1.7691,1458.48,536.058,1.00466
z_player[9],0.324599,0.0222128,0.946785,0.946541,-1.25235,0.298253,1.90647,1869.18,990.634,1.00207
z_player[10],-0.0306953,0.0245998,1.00507,1.00768,-1.72162,-0.0103924,1.597,1728.07,922.396,1.00496
z_player[11],-0.0121187,0.0285605,1.00626,0.987185,-1.67972,-0.0349126,1.66054,1360.46,347.86,1.00046
z_player[12],0.0223695,0.023294,0.954302,0.939154,-1.59532,0.0346639,1.60918,1765.2,1157.48,1.00109
z_player[13],-0.01388,0.0221963,1.02137,1.02808,-1.69513,-0.0161208,1.66931,2166.66,1119.35,1.00159
z_player[14],-0.0412835,0.0205758,0.943471,0.938974,-1.5379,-0.0501626,1.50918,2274.37,772.794,1.00367
z_player[15],-0.0229838,0.0214165,0.931359,0.923374,-1.53463,-0.0194535,1.48987,1862.55,1164.19,1.00286
z_player[16],0.0246991,0.024321,0.971661,0.974236,-1.57136,0.0138552,1.6013,1664.79,782.06,1.01422
z_player[17],-0.0752512,0.0273962,0.948722,0.960605,-1.5705,-0.0860288,1.49602,1213.98,826.899,1.00261
z_player[18],0.04078,0.0222008,0.99007,1.06716,-1.56652,0.0372433,1.71619,2142.82,1099.64,1.00159
z_player[19],-0.00380412,0.0220961,1.02579,1.03321,-1.66926,-0.0415106,1.71574,2206.72,1214.28,1.00119
z_player[20],-0.0260794,0.0250156,1.03854,1.06059,-1.75272,0.00730438,1.69763,1808.86,935.548,1.00069
z_player[21],0.0619166,0.0221851,0.969952,0.930717,-1.53802,0.0522087,1.64619,2032.76,1043.2,0.999932
z_player[22],0.232124,0.0271681,1.01985,1.02864,-1.50941,0.225173,1.92663,1428.26,772.177,1.02021
z_player[23],-0.0594299,0.0207328,0.991507,0.985554,-1.72839,-0.0429928,1.55044,2376.5,885.938,1.00353
z_player[24],0.0904737,0.0243297,1.00246,1.01877,-1.56738,0.118965,1.71066,1805.21,726.837,1.00421
z_player[25],-0.0683716,0.0281309,1.04249,1.01479,-1.81205,-0.0886794,1.70176,1389.04,494.753,1.00193
z_player[26],0.0197052,0.0225417,1.02016,1.00614,-1.59436,-0.00403856,1.74082,2153.05,997.799,1.00494
z_player[27],-0.0256404,0.0199968,0.999397,0.985126,-1.61979,-0.0463564,1.62135,2467.92,1093.76,1.00811
z_player[28],0.0134391,0.0219569,0.976454,1.03429,-1.63071,0.00542148,1.58306,2040.54,1158.4,1.00176
z_player[29],0.115674,0.0246911,0.98997,0.997708,-1.47105,0.112535,1.78651,1631.8,801.264,1.00715
z_player[30],0.122947,0.0232278,1.00455,0.983706,-1.53262,0.120348,1.78127,1918.5,1003.89,1.00622
z_player[31],-0.134102,0.0231807,0.96917,0.934707,-1.74638,-0.129418,1.55436,1731.07,1064.58,1.00658
z_player[32],-0.0699964,0.0231466,1.02693,1.02181,-1.71036,-0.0901607,1.64065,2053.11,1061.65,1.0068
z_player[33],-0.178696,0.0235168,1.0066,1.00505,-1.83807,-0.133555,1.46637,2064.41,832.937,1.00221
z_player[34],-0.0139494,0.023042,1.00445,1.00714,-1.67544,-0.00382349,1.62057,1919.59,875.075,1.00053
z_player[35],-0.0146164,0.0207789,0.922684,0.874851,-1.54956,-0.0120621,1.49932,2027.65,1235.35,1.00321
z_player[36],-0.115455,0.022107,1.01805,1.02628,-1.74725,-0.121492,1.57344,2221.61,1293.74,1.0037
z_player[37],0.00464503,0.0215189,1.00842,1.02554,-1.67852,0.00357096,1.67106,2149.35,1198.8,1.00237
