stat,ours_MAE,n_ours,consensus_MAE,n_cons,fp_MAE,n_fp,naive_MAE,n_naive
PTS,2.0059567018193696,194,1.8914981408595566,179.0,1.9369858083563243,175.0,2.2846887645446623,194.0
REB,0.668271340575927,194,0.7115388118852218,179.0,0.7123794458632149,175.0,0.7185665212711979,194.0
AST,0.6666310026047675,194,0.6125785987503104,179.0,0.6382084390503674,175.0,0.7171367896435247,194.0
STL,0.15599611131979227,194,0.1501118426844311,179.0,0.1495306535104352,175.0,0.17197640590935287,194.0
BLK,0.1398166631403896,194,0.1452682673943947,179.0,0.1454951248300286,175.0,0.1524984151905952,194.0
TOV,0.2814880010335682,194,0.29621181466198054,179.0,0.29740686727232285,175.0,0.32750362879654615,194.0
FG3M,0.31320534060864663,194,0.30941530083592195,179.0,0.31769987540800904,175.0,0.3300620319354975,194.0
FG%,0.02594793066277345,194,0.02651370315587492,179.0,0.02693721840874585,175.0,,
FT%,0.04039898654499261,194,0.04122574628190379,179.0,0.04113098607407176,175.0,,
MPG,2.9907361685916887,194,2.626839674796967,179.0,2.708155580238988,175.0,,
FGM,0.7305853936762727,194,,,,,0.8216445706514435,194.0
FGA,1.5208169144987507,194,,,,,1.7113140378224614,194.0
FG3A,0.7718070481481821,194,,,,,0.8257103569214123,194.0
FTM,0.5132055812707466,194,,,,,0.5902195402759086,194.0
FTA,0.6208954321576248,194,,,,,0.7232673559553056,194.0
