nba_api_id,name,depth_order,tier_mpg,rolling_mpg,override_mpg,scale_factor
1630570,Trendon Watford,4.0,4.51,21.186046511627907,11.180418604651162,0.5277255762897914
1626204,Larry Nance Jr.,4.0,4.51,19.291666666666668,10.422666666666668,0.5402678185745141
200768,Kyle Lowry,4.0,4.51,18.88571428571429,10.260285714285716,0.5432829046898638
1631207,Dalen Terry,4.0,4.51,13.506849315068491,8.108739726027396,0.600342799188641
1631133,Jabari Walker,4.0,4.51,12.5,7.7059999999999995,0.6164799999999999
1631165,Keon Ellis,3.0,8.92,24.35,15.092000000000002,0.6197946611909652
1629014,Anfernee Simons,3.0,13.865,32.714285714285715,21.404714285714284,0.6542925764192139
1631250,Pete Nance,4.0,4.71,10.615384615384617,7.072153846153848,0.6662173913043479
1627752,Taurean Prince,3.0,13.485,27.1125,18.936,0.6984232365145228
1627824,Guerschon Yabusele,3.0,13.865,27.042857142857144,19.136142857142858,0.7076228209191758
1629018,Gary Trent Jr.,3.0,13.485,25.567567567567565,18.31802702702703,0.716455602536998
1628418,Thomas Bryant,3.0,8.92,14.59090909090909,11.188363636363636,0.766803738317757
1630208,Nick Richards,3.0,13.865,22.035087719298247,17.1330350877193,0.7775342356687899
202696,Nikola Vučević,2.0,20.175,31.15068493150685,24.56527397260274,0.7885949868073878
1630625,Dalano Banton,3.0,11.64,16.73134328358209,13.676537313432835,0.8174201605709188
203471,Dennis Schröder,2.0,19.89,28.106666666666666,23.176666666666666,0.8245967741935484
1630202,Payton Pritchard,2.0,20.175,28.4375,23.48,0.8256703296703297
1629656,Quentin Grimes,2.0,20.98,26.866666666666667,23.334666666666667,0.8685359801488833
1629012,Collin Sexton,2.0,22.2,27.96825396825397,24.507301587301587,0.8762542565266742
1642348,Justin Edwards,2.0,20.98,26.13636363636364,23.042545454545454,0.8816278260869563
1628369,Jayson Tatum,1.0,30.58,36.43055555555556,32.92022222222222,0.903643156690812
1630178,Tyrese Maxey,1.0,32.53,37.75,34.618,0.9170331125827815
1629622,Max Strus,1.0,30.51,25.46,28.490000000000002,1.1190102120974077
1641748,Andre Jackson Jr.,7.0,21.215,15.265625,18.83525,1.2338341862845443
1630573,Sam Hauser,1.0,30.58,21.70422535211268,27.02969014084507,1.2453653471771575
203914,Gary Harris,6.0,21.215,14.770833333333334,18.637333333333334,1.2617658674188998
1628380,Zach Collins,2.0,22.2,15.328125,19.451249999999998,1.2689908256880733
1630200,Tre Jones,1.0,30.755000000000003,19.65217391304348,26.31386956521739,1.3389800884955751
1630171,Isaac Okoro,1.0,30.755000000000003,19.2,26.133,1.36109375
1629645,Kevin Porter Jr.,1.0,31.83,19.76,27.002,1.3664979757085018
1631248,Baylor Scheierman,2.0,20.175,12.419354838709676,17.072741935483872,1.374688311688312
1641824,Matas Buzelis,1.0,30.755000000000003,18.925,26.023,1.3750594451783356
1630579,Jericho Sims,2.0,24.055,12.372549019607842,19.382019607843137,1.5665340729001587
1630568,Luka Garza,3.0,11.64,5.815789473684211,9.310315789473684,1.6008687782805429
1630188,Jalen Smith,1.0,30.755000000000003,15.109375,24.49675,1.6212947259565667
1642281,Jaylon Tyson,2.0,19.89,9.595744680851064,15.772297872340426,1.6436762749445675
1642265,Rob Dillingham,2.0,22.2,10.632653061224488,17.573061224489795,1.6527447216890596
1629674,Neemias Queta,1.0,30.58,14.383333333333333,24.101333333333333,1.6756431054461183
1631157,Ryan Rollins,1.0,31.83,14.854545454545455,25.03981818181818,1.6856670746634026
1631172,Ousmane Dieng,2.0,24.055,10.972972972972974,18.82218918918919,1.715322660098522
1641775,Jordan Walsh,2.0,20.175,8.02,15.313,1.9093516209476311
