# contract_version=1.1 mode=production target_season=2025-26 train_seasons=2019-20-2020-21-2021-22-2022-23-2023-24-2024-25 source=v6.1_LOCKED_forward_rookie_aware note=as_if_25-26_unplayed
source,player_name,team,position,nba_api_id,games_proj,minutes_proj,PTS_proj,PTS_stddev_per_game,REB_proj,REB_stddev_per_game,AST_proj,AST_stddev_per_game,STL_proj,STL_stddev_per_game,BLK_proj,BLK_stddev_per_game,TOV_proj,TOV_stddev_per_game,FGM_proj,FGM_stddev_per_game,FGA_proj,FGA_stddev_per_game,FG_pct_proj,FTM_proj,FTM_stddev_per_game,FTA_proj,FTA_stddev_per_game,FT_pct_proj,3PM_proj,3PM_stddev_per_game,3PA_proj,3PA_stddev_per_game,3P_pct_proj,projection_method,years_in_league,draft_year,draft_pick,draft_round,pre_nba_league,pre_nba_team,cohort_size_n,auction_value_seed,resolve_value
nba_projections,LeBron James,LAL,Forward,2544,70.0,34.9571,20.1301,2.4613,7.5168,0.8648,6.6125,0.6806,0.9698,0.2330,0.5741,0.2014,2.9558,0.4205,7.6477,0.8888,14.8662,1.7800,0.5144,3.1239,0.8589,4.0334,0.8649,0.7745,1.7108,0.4041,4.5603,1.1323,0.3751,stan_v6.1_full,22,,,,,,,,23.91
nba_projections,Kevin Durant,PHX,Forward,201142,62.0,36.5806,23.3864,2.6654,5.9866,0.8188,4.0388,0.6257,0.8557,0.2348,1.0608,0.2229,2.8356,0.4231,8.4369,0.9248,15.9983,1.7403,0.5274,4.4097,0.9199,5.2110,0.9308,0.8462,2.1029,0.4296,5.0591,1.0234,0.4157,stan_v6.1_full,18,,,,,,,,35.18
nba_projections,Al Horford,BOS,Center,201143,60.0,27.6667,7.5019,1.7835,5.8743,0.6620,2.2298,0.5652,0.5048,0.1758,0.8127,0.1661,0.6948,0.2786,2.9687,0.6682,6.6498,1.2129,0.4464,0.4487,0.4816,0.5483,0.5860,0.8184,1.7028,0.3476,4.5025,0.7947,0.3782,stan_v6.1_full,18,,,,,,,,4.17
nba_projections,Mike Conley,MIN,Guard,201144,71.0,24.7324,7.9348,1.6201,2.4164,0.3952,4.2330,0.5774,1.0410,0.1810,0.2226,0.0882,1.1373,0.2680,2.5875,0.5900,6.1511,1.1422,0.4207,1.1259,0.4671,1.3227,0.5538,0.8512,1.6339,0.2934,4.0332,0.6912,0.4051,stan_v6.1_full,18,,,,,,,,9.23
nba_projections,Russell Westbrook,DEN,Guard,201566,75.0,27.9200,11.9755,1.9545,5.2354,0.4709,5.3828,0.6495,1.1750,0.2045,0.4037,0.1023,2.9201,0.3465,4.5264,0.7233,10.1122,1.3261,0.4476,1.8975,0.5857,2.7760,0.6836,0.6835,1.0252,0.3270,3.1790,0.7588,0.3225,stan_v6.1_full,17,,,,,,,,1.00
nba_projections,Kevin Love,MIA,Forward,201567,23.0,10.9130,5.0017,0.8221,3.5864,0.3548,1.0349,0.2073,0.2566,0.0779,0.1277,0.0626,0.5820,0.1344,1.6497,0.3117,4.0917,0.5720,0.4032,0.7539,0.2326,0.9650,0.2963,0.7813,0.9485,0.1935,2.7071,0.4475,0.3504,stan_v6.1_full,17,,,,,,,,1.00
nba_projections,Brook Lopez,MIL,Center,201572,80.0,31.8250,11.3631,2.1023,5.0480,0.7548,1.5248,0.6307,0.5362,0.2062,1.8249,0.2322,1.0007,0.3298,4.5123,0.7869,8.9570,1.5390,0.5038,1.3273,0.6308,1.6415,0.7211,0.8086,1.5981,0.3644,4.3196,0.9381,0.3700,stan_v6.1_full,17,,,,,,,,26.36
nba_projections,Nicolas Batum,LAC,Guard,201587,78.0,17.4872,3.0503,1.0800,2.6733,0.2911,0.9664,0.3467,0.6353,0.1240,0.4104,0.0680,0.4163,0.1763,1.0414,0.3707,2.3491,0.8026,0.4433,0.1652,0.2893,0.2131,0.3714,0.7753,0.8021,0.1819,1.9681,0.5146,0.4076,stan_v6.1_full,17,,,,,,,,1.00
nba_projections,James Harden,LAC,Guard,201935,79.0,35.3165,18.4326,2.3907,5.3608,0.5746,7.8578,0.8202,1.3475,0.2378,0.6709,0.1291,3.4091,0.4284,5.4485,0.8810,13.0610,1.6854,0.4172,5.0559,0.8519,5.8479,0.9167,0.8646,2.4796,0.4202,6.9040,1.0641,0.3592,stan_v6.1_full,16,,,,,,,,30.98
nba_projections,Stephen Curry,GSW,Guard,201939,70.0,32.1286,22.7431,2.3798,4.4124,0.5146,5.0526,0.7090,1.0004,0.2157,0.3848,0.1138,2.6312,0.3672,7.5095,0.8487,16.5805,1.5645,0.4529,3.6320,0.7484,4.0077,0.7961,0.9063,4.0921,0.4683,10.2599,1.0332,0.3988,stan_v6.1_full,16,,,,,,,,42.82
nba_projections,DeMar DeRozan,SAC,Guard,201942,77.0,35.9351,20.8914,2.5467,3.9175,0.5599,4.3246,0.7603,0.9442,0.2270,0.4201,0.1250,1.4966,0.3640,7.5176,0.9031,15.6791,1.6290,0.4795,4.9234,0.8337,5.7941,0.9581,0.8497,0.9328,0.4041,2.7867,0.8022,0.3347,stan_v6.1_full,16,,,,,,,,21.50
nba_projections,Jrue Holiday,BOS,Guard,201950,62.0,30.6613,10.9772,2.1260,4.3331,0.5225,3.9701,0.7025,1.0823,0.2163,0.5138,0.1206,1.6722,0.3546,4.1145,0.7601,9.0102,1.5165,0.4567,1.0732,0.5876,1.2697,0.7095,0.8452,1.6749,0.3645,4.5258,0.9051,0.3701,stan_v6.1_full,16,,,,,,,,6.10
nba_projections,Paul George,PHI,Forward,202331,41.0,32.5610,18.3710,2.3913,5.1218,0.7614,3.8113,0.5900,1.5078,0.2492,0.4607,0.1804,2.5233,0.4022,6.5947,0.8977,14.7668,1.6494,0.4466,2.5835,0.6821,3.0947,0.8309,0.8348,2.5981,0.4542,6.9389,0.9612,0.3744,stan_v6.1_full,15,,,,,,,,1.34
nba_projections,Jonas Valančiūnas,WAS,Center,202685,81.0,18.7901,8.5818,1.3349,7.3308,0.5439,1.6335,0.4026,0.3584,0.1210,0.5093,0.1141,1.2010,0.2201,3.7352,0.4758,6.8430,0.8724,0.5458,1.5579,0.4395,1.8432,0.4576,0.8452,0.1406,0.1194,0.4626,0.3754,0.3040,stan_v6.1_full,13,,,,,,,,7.12
nba_projections,Klay Thompson,DAL,Guard,202691,72.0,27.3889,14.9733,1.8877,3.2165,0.4372,1.8715,0.5414,0.6799,0.1784,0.4190,0.1001,1.3303,0.2924,5.3736,0.7078,12.7464,1.3269,0.4216,1.1072,0.4960,1.2876,0.6007,0.8599,3.1189,0.4115,8.0047,0.8950,0.3896,stan_v6.1_full,14,,,,,,,,13.55
